seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13720,2025,AUS.1,19340,89015,3,0,2,1,0,0,0,0,0,0,4,0,0,0,3,2025-12-02 06:04:53
13720,2025,AUS.1,5326,97794,6,0,0,1,2,0,0,0,0,0,0,0,0,14,3,2025-12-02 06:04:52
13720,2025,AUS.1,19340,101127,5,0,9,5,1,0,0,0,0,1,3,1,0,0,2,2025-12-02 06:04:53
13720,2025,AUS.1,5328,103025,6,3,1,3,0,0,0,0,0,3,8,1,0,0,7,2025-12-02 06:04:53
13720,2025,AUS.1,5325,107530,6,0,0,0,0,0,0,0,0,0,0,0,0,25,8,2025-12-02 06:04:52
13720,2025,AUS.1,19340,109214,5,1,2,2,0,0,0,0,0,1,2,0,0,0,3,2025-12-02 06:04:53
13720,2025,AUS.1,11143,122553,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:04:53
13720,2025,AUS.1,5321,124962,6,0,6,5,1,0,0,0,0,0,1,0,0,0,8,2025-12-02 06:04:51
13720,2025,AUS.1,5327,130119,6,0,6,3,1,0,0,0,0,1,7,0,0,0,4,2025-12-02 06:04:54
13720,2025,AUS.1,5326,138978,6,0,3,4,0,0,0,0,0,3,11,2,0,0,3,2025-12-02 06:04:52
13720,2025,AUS.1,5328,138984,3,0,0,4,1,0,0,0,0,0,0,0,0,0,6,2025-12-02 06:04:53
13720,2025,AUS.1,11143,140994,3,0,2,4,0,0,0,1,0,1,3,0,0,0,1,2025-12-02 06:04:53
13720,2025,AUS.1,5323,143180,4,1,2,0,0,0,0,0,0,0,2,0,0,0,9,2025-12-02 06:04:54
13720,2025,AUS.1,19340,143342,6,0,9,13,2,0,0,0,0,1,7,0,0,0,5,2025-12-02 06:04:53
13720,2025,AUS.1,5328,143791,6,0,8,3,3,0,0,0,0,4,15,0,0,0,11,2025-12-02 06:04:53
13720,2025,AUS.1,5321,144554,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:04:51
13720,2025,AUS.1,5323,147131,6,2,2,1,0,0,0,0,0,6,9,2,0,0,9,2025-12-02 06:04:54
13720,2025,AUS.1,5321,147544,5,3,6,1,1,0,0,0,0,1,1,0,0,0,3,2025-12-02 06:04:51
13720,2025,AUS.1,19340,150375,5,4,2,0,1,0,0,0,0,2,5,1,0,0,3,2025-12-02 06:04:53
13720,2025,AUS.1,5322,151920,4,0,8,2,3,0,0,0,0,0,1,0,0,0,9,2025-12-02 06:04:54
13720,2025,AUS.1,5322,152783,6,0,1,0,2,0,0,0,0,0,4,0,0,0,10,2025-12-02 06:04:54
13720,2025,AUS.1,13696,154389,5,0,2,0,0,0,0,0,0,0,2,0,0,0,6,2025-12-02 06:04:55
13720,2025,AUS.1,5328,154406,6,0,0,0,0,0,0,0,0,0,0,0,0,16,11,2025-12-02 06:04:53
13720,2025,AUS.1,5322,155209,6,1,4,2,1,0,0,1,0,5,18,1,0,0,7,2025-12-02 06:04:54
13720,2025,AUS.1,5325,155999,6,0,4,2,1,0,0,0,0,0,0,0,0,0,8,2025-12-02 06:04:52
13720,2025,AUS.1,13696,156929,6,0,0,2,0,0,0,0,0,0,0,0,0,25,7,2025-12-02 06:04:55
13720,2025,AUS.1,22344,157692,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2025-12-02 06:04:52
13720,2025,AUS.1,8352,159343,3,1,0,4,0,0,0,0,0,0,1,0,0,0,1,2025-12-02 06:04:55
13720,2025,AUS.1,22344,159466,6,5,4,3,0,0,0,0,0,0,2,0,0,0,2,2025-12-02 06:04:52
13720,2025,AUS.1,8352,159470,2,0,2,1,0,0,0,1,0,1,2,0,0,0,2,2025-12-02 06:04:55
13720,2025,AUS.1,5321,161822,6,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2025-12-02 06:04:51
13720,2025,AUS.1,19340,168388,6,0,0,0,0,0,0,0,0,0,0,0,0,18,5,2025-12-02 06:04:53
13720,2025,AUS.1,5321,170754,5,0,9,3,1,0,0,1,0,2,4,1,0,0,6,2025-12-02 06:04:51
13720,2025,AUS.1,5325,173089,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2025-12-02 06:04:52
13720,2025,AUS.1,5327,173189,6,0,2,3,2,0,0,0,0,2,7,1,0,0,4,2025-12-02 06:04:54
13720,2025,AUS.1,19340,173447,5,0,2,4,0,0,0,0,0,0,4,0,0,0,4,2025-12-02 06:04:53
13720,2025,AUS.1,13696,175958,6,0,3,4,0,0,0,1,0,5,11,3,0,0,7,2025-12-02 06:04:55
13720,2025,AUS.1,22344,176886,4,3,2,1,0,0,0,0,0,0,3,0,0,0,1,2025-12-02 06:04:52
13720,2025,AUS.1,5327,178990,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:54
