seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13724,2025,AUS.W.1,20284,23468,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:57
13724,2025,AUS.W.1,20288,158675,4,0,2,3,0,0,0,2,0,5,10,2,0,0,5,2025-12-02 06:04:56
13724,2025,AUS.W.1,20280,158686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:57
13724,2025,AUS.W.1,20281,158688,3,2,0,4,0,0,0,0,0,1,3,1,0,0,1,2025-12-02 06:04:56
13724,2025,AUS.W.1,20281,172518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:56
13724,2025,AUS.W.1,20280,175238,2,0,1,3,0,0,1,0,0,0,4,0,0,0,2,2025-12-02 06:04:57
13724,2025,AUS.W.1,20284,213801,5,0,3,0,0,0,0,1,0,0,3,0,0,0,5,2025-12-02 06:04:57
13724,2025,AUS.W.1,21133,219956,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:04:58
13724,2025,AUS.W.1,21133,219962,3,0,10,5,1,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:04:58
13724,2025,AUS.W.1,20285,225749,3,3,3,1,0,0,0,0,0,1,3,0,0,0,1,2025-12-02 06:04:58
13724,2025,AUS.W.1,20286,226437,3,0,2,1,0,0,0,0,0,1,11,0,0,0,3,2025-12-02 06:04:55
13724,2025,AUS.W.1,20288,230866,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2025-12-02 06:04:56
13724,2025,AUS.W.1,21133,235652,3,0,0,2,0,0,0,0,0,0,0,0,0,8,2,2025-12-02 06:04:58
13724,2025,AUS.W.1,20282,243227,3,0,1,1,0,0,0,1,0,1,3,0,0,0,6,2025-12-02 06:04:58
13724,2025,AUS.W.1,20280,249292,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:04:57
13724,2025,AUS.W.1,20283,259618,4,0,3,3,0,0,0,0,0,0,4,0,0,0,7,2025-12-02 06:04:59
13724,2025,AUS.W.1,20282,262668,5,0,11,4,0,0,0,1,0,7,11,2,0,0,12,2025-12-02 06:04:58
13724,2025,AUS.W.1,21133,263886,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:04:58
13724,2025,AUS.W.1,20280,264398,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:57
13724,2025,AUS.W.1,20287,264965,3,0,0,0,0,0,0,1,0,0,0,0,0,12,2,2025-12-02 06:04:57
13724,2025,AUS.W.1,20288,264968,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2025-12-02 06:04:56
13724,2025,AUS.W.1,20286,280013,3,0,2,3,0,0,0,0,0,1,2,0,0,0,3,2025-12-02 06:04:55
13724,2025,AUS.W.1,20284,281588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:57
13724,2025,AUS.W.1,20280,284185,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2025-12-02 06:04:57
13724,2025,AUS.W.1,20283,288837,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:59
13724,2025,AUS.W.1,20285,292438,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2025-12-02 06:04:58
13724,2025,AUS.W.1,20286,292463,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2025-12-02 06:04:55
13724,2025,AUS.W.1,21133,292544,3,0,1,2,0,0,0,0,0,2,5,0,0,0,2,2025-12-02 06:04:58
13724,2025,AUS.W.1,20284,292667,5,0,7,5,1,0,0,0,0,9,19,5,0,0,5,2025-12-02 06:04:57
13724,2025,AUS.W.1,20283,292977,4,2,3,3,0,0,0,0,0,1,3,1,0,0,4,2025-12-02 06:04:59
13724,2025,AUS.W.1,20284,293183,5,0,8,7,0,0,0,1,0,5,13,0,0,0,5,2025-12-02 06:04:57
13724,2025,AUS.W.1,20283,293184,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:04:59
13724,2025,AUS.W.1,20281,293279,3,0,1,7,0,0,0,1,0,0,2,0,0,0,5,2025-12-02 06:04:56
13724,2025,AUS.W.1,20282,293935,5,1,2,3,2,0,0,0,0,2,8,2,0,0,9,2025-12-02 06:04:58
13724,2025,AUS.W.1,20283,296581,3,1,2,1,0,0,0,0,0,1,4,0,0,0,2,2025-12-02 06:04:59
13724,2025,AUS.W.1,21991,298483,4,0,0,1,0,0,0,0,0,0,0,0,0,9,6,2025-12-02 06:04:56
13724,2025,AUS.W.1,21133,298614,3,1,2,0,0,0,0,0,0,4,5,0,0,0,1,2025-12-02 06:04:58
13724,2025,AUS.W.1,20284,298746,4,1,2,0,1,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:04:57
13724,2025,AUS.W.1,20286,300437,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2025-12-02 06:04:55
13724,2025,AUS.W.1,20286,300440,2,1,2,2,0,0,0,0,0,0,0,0,0,0,3,2025-12-02 06:04:55
13724,2025,AUS.W.1,20284,300522,5,0,0,0,0,0,0,1,0,0,0,0,0,11,5,2025-12-02 06:04:57
13724,2025,AUS.W.1,20282,300524,5,1,3,7,0,0,0,0,0,2,7,0,0,0,11,2025-12-02 06:04:58
13724,2025,AUS.W.1,20284,300527,5,0,4,2,0,0,0,2,0,2,3,1,0,0,5,2025-12-02 06:04:57
