seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13552,2025,AUT.1,18794,4804,14,0,6,5,1,0,0,0,0,4,12,1,0,0,20,2025-12-02 06:05:48
13552,2025,AUT.1,21950,21896,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:45
13552,2025,AUT.1,2790,33435,14,0,8,3,2,0,0,1,0,2,9,0,0,0,18,2025-12-02 06:05:46
13552,2025,AUT.1,4411,37442,13,11,7,4,1,0,0,1,0,4,9,3,0,0,8,2025-12-02 06:05:46
13552,2025,AUT.1,13294,74694,10,3,10,1,2,1,0,0,0,0,2,0,0,0,8,2025-12-02 06:05:48
13552,2025,AUT.1,4405,118109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:47
13552,2025,AUT.1,13294,120196,10,7,2,5,1,0,0,0,0,0,5,0,0,0,2,2025-12-02 06:05:48
13552,2025,AUT.1,13294,134018,14,3,6,9,0,0,0,0,0,9,20,6,0,0,11,2025-12-02 06:05:48
13552,2025,AUT.1,3759,138780,15,0,14,8,2,0,0,1,0,1,4,0,0,0,20,2025-12-02 06:05:47
13552,2025,AUT.1,4411,141449,10,3,6,7,1,0,0,0,0,0,4,0,0,0,9,2025-12-02 06:05:46
13552,2025,AUT.1,1382,142977,13,0,8,13,2,0,0,0,0,0,7,0,0,0,17,2025-12-02 06:05:45
13552,2025,AUT.1,4405,147261,9,8,3,1,0,0,0,0,0,3,4,1,0,0,2,2025-12-02 06:05:47
13552,2025,AUT.1,6907,152366,15,1,10,17,3,0,0,3,0,1,7,0,0,0,9,2025-12-02 06:05:47
13552,2025,AUT.1,3759,156639,6,4,2,0,1,0,0,0,0,0,3,0,0,0,4,2025-12-02 06:05:47
13552,2025,AUT.1,18794,157479,10,10,7,1,0,1,0,0,0,1,2,1,0,0,4,2025-12-02 06:05:48
13552,2025,AUT.1,4405,159929,15,0,0,7,3,0,0,0,0,0,0,0,0,41,16,2025-12-02 06:05:47
13552,2025,AUT.1,1382,161833,15,0,0,1,1,0,0,0,0,1,1,0,0,36,23,2025-12-02 06:05:45
13552,2025,AUT.1,3746,162238,8,7,4,2,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:05:47
13552,2025,AUT.1,21950,164551,10,4,10,6,0,0,0,1,0,2,7,1,0,0,14,2025-12-02 06:05:45
13552,2025,AUT.1,3759,177623,3,3,2,2,1,0,0,0,0,0,0,0,0,0,3,2025-12-02 06:05:47
13552,2025,AUT.1,519,178250,6,6,1,2,1,0,0,0,0,1,1,0,0,0,2,2025-12-02 06:05:46
13552,2025,AUT.1,13294,179601,12,3,13,5,3,0,0,0,0,1,11,1,0,0,10,2025-12-02 06:05:48
13552,2025,AUT.1,6907,186199,14,0,9,12,2,0,0,1,0,3,6,1,0,0,16,2025-12-02 06:05:47
13552,2025,AUT.1,4411,189775,13,0,7,5,1,0,0,0,0,4,15,1,0,0,17,2025-12-02 06:05:46
13552,2025,AUT.1,1382,192532,15,0,15,25,3,0,0,0,0,4,15,0,0,0,23,2025-12-02 06:05:45
13552,2025,AUT.1,4411,193294,14,0,11,14,2,1,0,1,0,3,15,1,0,0,14,2025-12-02 06:05:46
13552,2025,AUT.1,519,193729,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:05:46
13552,2025,AUT.1,6907,193901,12,9,3,5,2,0,0,0,0,1,6,1,0,0,8,2025-12-02 06:05:47
13552,2025,AUT.1,13294,194046,9,7,3,5,0,0,0,0,0,4,9,1,0,0,6,2025-12-02 06:05:48
13552,2025,AUT.1,13294,195079,13,0,18,15,1,1,0,1,0,0,5,0,0,0,13,2025-12-02 06:05:48
13552,2025,AUT.1,2790,195082,14,0,0,0,3,0,0,0,0,0,0,0,0,45,19,2025-12-02 06:05:46
13552,2025,AUT.1,4405,200850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:47
13552,2025,AUT.1,13294,203868,14,1,15,18,2,0,0,5,0,5,15,3,0,0,16,2025-12-02 06:05:48
13552,2025,AUT.1,2790,204133,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:05:46
13552,2025,AUT.1,1382,206792,11,3,7,4,1,0,0,0,0,2,6,1,0,0,12,2025-12-02 06:05:45
13552,2025,AUT.1,3746,214012,13,0,19,16,3,0,0,1,0,6,18,0,0,0,15,2025-12-02 06:05:47
13552,2025,AUT.1,21950,214633,14,1,11,9,4,0,0,2,0,3,13,1,0,0,16,2025-12-02 06:05:45
13552,2025,AUT.1,2790,214635,14,1,5,11,2,0,0,1,0,3,13,1,0,0,18,2025-12-02 06:05:46
13552,2025,AUT.1,21846,214639,15,6,36,10,3,0,0,2,0,7,16,5,0,0,8,2025-12-02 06:05:46
13552,2025,AUT.1,13294,217326,7,5,2,2,0,0,0,0,0,5,7,0,0,0,2,2025-12-02 06:05:48
13552,2025,AUT.1,4405,217327,8,8,1,0,0,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:05:47
13552,2025,AUT.1,4405,217647,13,0,9,16,1,0,0,0,0,2,6,0,0,0,14,2025-12-02 06:05:47
13552,2025,AUT.1,3759,219322,9,7,6,1,0,0,0,0,0,0,1,0,0,0,8,2025-12-02 06:05:47
13552,2025,AUT.1,519,219676,4,3,3,1,1,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:05:46
13552,2025,AUT.1,4405,220713,13,0,19,18,6,1,0,0,0,1,6,0,0,0,11,2025-12-02 06:05:47
13552,2025,AUT.1,3746,221130,12,3,8,23,1,0,0,2,0,12,35,8,0,0,12,2025-12-02 06:05:47
13552,2025,AUT.1,18794,223166,14,0,8,13,3,0,0,1,0,12,20,8,0,0,20,2025-12-02 06:05:48
13552,2025,AUT.1,4405,223171,10,1,14,7,2,0,0,0,0,0,1,0,0,0,8,2025-12-02 06:05:47
13552,2025,AUT.1,2790,224309,5,3,1,7,0,0,0,1,0,3,7,0,0,0,3,2025-12-02 06:05:46
13552,2025,AUT.1,4411,224704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:46
13552,2025,AUT.1,1382,225580,15,1,8,9,0,0,0,4,0,8,25,4,0,0,21,2025-12-02 06:05:45
13552,2025,AUT.1,519,228547,3,0,5,9,1,0,0,0,0,1,4,0,0,0,1,2025-08-23 04:56:45
13552,2025,AUT.1,519,231866,13,2,9,13,3,0,0,0,0,0,3,0,0,0,15,2025-12-02 06:05:46
13552,2025,AUT.1,519,236381,5,0,0,3,2,0,0,0,0,0,0,0,0,15,7,2025-12-02 06:05:46
13552,2025,AUT.1,21950,237535,3,2,2,0,2,0,0,0,0,0,1,0,0,0,4,2025-12-02 06:05:45
13552,2025,AUT.1,3759,237920,15,0,1,2,2,0,0,0,0,0,0,0,0,44,22,2025-12-02 06:05:47
13552,2025,AUT.1,21950,238288,14,0,15,8,6,0,0,0,0,1,7,0,0,0,23,2025-12-02 06:05:45
13552,2025,AUT.1,21950,238291,13,2,11,10,1,0,0,0,0,6,18,2,0,0,14,2025-12-02 06:05:45
13552,2025,AUT.1,4411,238297,13,8,11,3,1,0,0,0,0,4,8,0,0,0,7,2025-12-02 06:05:46
13552,2025,AUT.1,4405,238904,14,0,20,14,1,0,0,2,0,0,5,0,0,0,13,2025-12-02 06:05:47
13552,2025,AUT.1,21950,238905,15,0,8,15,0,0,0,3,0,1,7,0,0,0,24,2025-12-02 06:05:45
13552,2025,AUT.1,21846,239058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:46
13552,2025,AUT.1,21846,245592,14,1,10,6,1,0,0,0,0,2,4,0,0,0,18,2025-12-02 06:05:46
13552,2025,AUT.1,3746,248673,14,0,16,7,3,0,1,0,0,1,8,0,0,0,16,2025-12-02 06:05:47
13552,2025,AUT.1,3746,249668,12,0,0,2,1,0,0,0,0,0,0,0,0,32,11,2025-12-02 06:05:47
13552,2025,AUT.1,21846,252449,15,0,0,5,0,0,0,0,0,0,0,0,0,26,25,2025-12-02 06:05:46
13552,2025,AUT.1,1382,252549,10,2,5,3,1,0,0,1,0,1,9,1,0,0,12,2025-12-02 06:05:45
13552,2025,AUT.1,21846,258617,9,3,4,1,1,0,0,0,0,0,6,0,0,0,9,2025-12-02 06:05:46
13552,2025,AUT.1,1382,258887,13,1,13,12,3,1,0,0,0,1,5,1,0,0,20,2025-12-02 06:05:45
13552,2025,AUT.1,21950,258890,3,0,3,8,1,0,0,0,0,1,2,0,0,0,1,2025-12-02 06:05:45
13552,2025,AUT.1,1382,258891,6,6,2,0,1,0,0,0,0,2,5,1,0,0,0,2025-12-02 06:05:45
13552,2025,AUT.1,21846,258893,14,4,7,7,1,0,0,0,0,0,1,0,0,0,16,2025-12-02 06:05:46
13552,2025,AUT.1,4411,258894,12,10,4,1,0,0,0,0,0,0,4,0,0,0,5,2025-12-02 06:05:46
13552,2025,AUT.1,13294,258898,14,0,10,9,4,1,0,0,0,4,17,2,0,0,15,2025-12-02 06:05:48
13552,2025,AUT.1,4411,259131,6,4,4,10,0,0,0,0,0,2,5,0,0,0,1,2025-12-02 06:05:46
13552,2025,AUT.1,1382,259132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:45
13552,2025,AUT.1,4405,259133,5,1,4,3,0,0,0,1,0,3,4,0,0,0,1,2025-12-02 06:05:47
13552,2025,AUT.1,2790,260005,10,4,2,6,0,0,0,1,0,1,3,0,0,0,8,2025-12-02 06:05:46
13552,2025,AUT.1,18794,260405,7,2,3,5,2,0,0,0,0,5,19,2,0,0,3,2025-12-02 06:05:48
13552,2025,AUT.1,519,261065,11,4,12,6,1,0,0,3,0,16,24,3,0,0,10,2025-12-02 06:05:46
13552,2025,AUT.1,18794,261590,9,0,11,11,2,0,0,1,0,1,4,0,0,0,15,2025-12-02 06:05:48
13552,2025,AUT.1,1382,265927,5,1,1,6,0,0,0,0,0,6,12,0,0,0,7,2025-09-03 05:05:17
