seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13270,2025,BRA.1,2022,11632,27,2,25,15,2,0,0,2,6,11,33,0,0,1,15,2025-12-02 06:06:31
13270,2025,BRA.1,3457,12669,4,4,0,1,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:06:37
13270,2025,BRA.1,6273,24388,26,13,12,14,7,0,0,4,2,7,26,0,0,1,19,2025-12-02 06:06:33
13270,2025,BRA.1,6270,36805,23,13,10,32,3,0,0,4,2,11,21,3,0,0,16,2025-12-02 06:06:34
13270,2025,BRA.1,3454,43711,23,8,9,8,0,0,0,2,0,9,22,2,0,0,31,2025-12-02 06:06:36
13270,2025,BRA.1,2029,67518,28,9,16,38,3,0,0,3,0,14,31,5,0,1,13,2025-12-02 06:06:34
13270,2025,BRA.1,3445,74906,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-25 04:49:41
13270,2025,BRA.1,6270,75881,14,4,20,24,1,0,0,0,2,4,10,1,0,0,11,2025-12-02 06:06:34
13270,2025,BRA.1,1936,76818,12,1,11,7,3,0,0,0,0,2,6,0,0,0,17,2025-12-02 06:06:33
13270,2025,BRA.1,2022,77577,32,1,35,48,12,0,0,3,1,4,19,1,0,0,22,2025-12-02 06:06:31
13270,2025,BRA.1,7635,82010,8,5,7,2,1,0,0,0,1,3,7,0,0,0,3,2025-12-02 06:06:36
13270,2025,BRA.1,9967,82782,31,0,30,22,6,1,0,0,0,4,17,0,0,17,38,2025-12-02 06:06:29
13270,2025,BRA.1,6086,83178,25,11,21,40,6,0,0,4,2,10,28,2,0,1,16,2025-12-02 06:06:30
13270,2025,BRA.1,3454,84877,4,2,2,7,0,0,0,2,0,0,2,0,0,0,3,2025-06-11 04:51:38
13270,2025,BRA.1,9169,94310,21,5,30,15,1,0,0,2,1,12,32,4,0,1,12,2025-12-02 06:06:34
13270,2025,BRA.1,7632,95558,20,10,12,6,2,0,0,0,1,1,17,0,0,2,10,2025-12-02 06:06:29
13270,2025,BRA.1,7635,95831,6,6,3,1,0,0,0,0,1,3,7,0,0,0,0,2025-07-19 04:36:27
13270,2025,BRA.1,6272,95849,3,0,4,1,1,1,0,0,0,0,0,0,0,2,1,2025-06-11 04:51:34
13270,2025,BRA.1,3445,96254,24,1,9,9,1,0,0,0,0,3,12,1,0,4,20,2025-12-02 06:06:32
13270,2025,BRA.1,6272,98398,7,3,7,2,2,0,0,0,0,1,6,0,0,6,8,2025-08-03 04:37:26
13270,2025,BRA.1,6270,99364,6,1,1,0,0,0,0,0,1,0,0,0,69,30,9,2025-12-02 06:06:34
13270,2025,BRA.1,2022,108103,33,2,52,23,7,0,0,2,2,5,23,2,0,2,21,2025-12-02 06:06:31
13270,2025,BRA.1,2022,108342,9,1,11,8,1,0,0,0,0,0,2,0,0,0,5,2025-12-02 06:06:31
13270,2025,BRA.1,2022,108347,34,0,0,8,4,0,0,0,0,0,0,0,109,104,25,2025-12-02 06:06:31
13270,2025,BRA.1,2029,109962,24,8,23,11,3,0,0,0,1,8,16,1,0,2,16,2025-12-02 06:06:34
13270,2025,BRA.1,2026,113352,10,3,15,8,0,0,0,0,0,2,8,1,0,1,11,2025-12-02 06:06:36
13270,2025,BRA.1,3454,114031,9,9,2,1,1,0,0,0,0,2,4,0,0,0,3,2025-12-02 06:06:36
13270,2025,BRA.1,9169,115379,34,1,26,32,6,0,0,6,2,28,62,13,0,2,32,2025-12-02 06:06:34
13270,2025,BRA.1,2029,118395,26,1,33,13,8,0,0,1,9,5,19,2,0,3,18,2025-12-02 06:06:34
13270,2025,BRA.1,9967,118688,18,10,13,13,1,0,0,0,2,11,29,2,0,1,16,2025-09-11 05:09:22
13270,2025,BRA.1,2022,121921,16,16,11,4,1,0,0,1,1,1,6,0,0,0,0,2025-12-02 06:06:31
13270,2025,BRA.1,874,123865,9,6,4,3,0,0,0,0,2,3,6,1,0,0,2,2025-12-02 06:06:31
13270,2025,BRA.1,1936,124066,6,0,2,4,0,0,0,0,0,3,3,0,0,5,7,2025-12-02 06:06:33
13270,2025,BRA.1,7632,124068,31,5,37,65,10,0,0,5,7,26,80,7,0,0,33,2025-12-02 06:06:29
13270,2025,BRA.1,6273,124439,22,7,23,32,3,0,0,0,3,10,27,2,0,0,11,2025-12-02 06:06:33
13270,2025,BRA.1,819,125514,19,1,39,16,4,0,0,0,0,2,8,0,0,1,11,2025-12-02 06:06:31
13270,2025,BRA.1,2026,129722,24,3,15,8,2,0,0,3,1,0,5,0,0,4,25,2025-12-02 06:06:36
13270,2025,BRA.1,3454,130372,29,0,21,39,3,1,0,3,3,23,60,5,0,0,35,2025-12-02 06:06:36
13270,2025,BRA.1,6270,130645,20,6,18,28,6,1,0,0,4,1,2,0,0,4,25,2025-12-02 06:06:34
13270,2025,BRA.1,3457,130666,3,3,1,1,0,0,0,0,0,1,3,0,0,0,4,2025-12-02 06:06:37
13270,2025,BRA.1,2026,130711,11,7,6,14,0,0,0,0,1,4,11,2,0,0,7,2025-12-02 06:06:36
13270,2025,BRA.1,3457,130826,7,1,1,1,0,0,0,0,0,0,0,0,0,32,5,2025-12-02 06:06:37
13270,2025,BRA.1,7635,130826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-12 04:29:23
13270,2025,BRA.1,2674,131245,16,5,24,7,4,1,0,0,0,0,7,0,0,1,11,2025-12-02 06:06:35
13270,2025,BRA.1,2674,132948,18,3,19,63,5,1,0,1,5,22,47,5,0,0,21,2025-12-02 06:06:35
13270,2025,BRA.1,6086,138398,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2025-12-02 06:06:30
13270,2025,BRA.1,6270,138701,18,2,26,4,5,0,0,0,3,6,11,1,0,13,28,2025-12-02 06:06:34
13270,2025,BRA.1,3457,141626,26,15,6,19,3,0,0,2,3,6,20,0,0,0,14,2025-12-02 06:06:37
13270,2025,BRA.1,7635,141966,18,8,16,11,5,0,0,1,1,5,22,1,0,0,25,2025-12-02 06:06:36
13270,2025,BRA.1,9969,143702,27,10,31,27,8,0,0,3,9,13,32,4,0,0,16,2025-12-02 06:06:30
13270,2025,BRA.1,9967,143818,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:29
13270,2025,BRA.1,6086,143883,19,10,25,10,7,0,0,0,0,1,3,0,0,0,10,2025-12-02 06:06:30
13270,2025,BRA.1,6273,145092,31,0,1,11,2,0,0,0,0,2,2,2,111,103,41,2025-12-02 06:06:33
13270,2025,BRA.1,819,145405,33,1,23,13,5,0,0,0,1,7,20,4,0,5,21,2025-12-02 06:06:31
13270,2025,BRA.1,9169,145567,10,4,9,10,2,0,0,0,0,2,10,2,0,0,5,2025-12-02 06:06:34
13270,2025,BRA.1,6273,146109,20,1,24,13,8,1,0,0,0,1,5,0,0,1,24,2025-12-02 06:06:33
13270,2025,BRA.1,3445,146162,27,3,30,29,4,0,0,1,0,6,20,4,0,4,23,2025-12-02 06:06:32
13270,2025,BRA.1,6272,146169,29,0,49,26,3,0,0,0,2,7,17,1,0,0,35,2025-12-02 06:06:32
13270,2025,BRA.1,9969,147148,31,10,32,17,5,0,0,6,2,4,20,2,0,1,14,2025-12-02 06:06:30
13270,2025,BRA.1,874,148189,21,6,30,14,3,0,0,1,0,2,9,1,0,0,18,2025-12-02 06:06:31
13270,2025,BRA.1,3454,148973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-25 04:49:45
13270,2025,BRA.1,2029,152812,31,7,12,18,0,0,0,2,2,10,36,4,0,0,18,2025-12-02 06:06:34
13270,2025,BRA.1,9169,153646,31,6,17,49,3,0,0,3,3,18,51,7,0,0,23,2025-12-02 06:06:34
13270,2025,BRA.1,2674,154853,12,11,8,11,1,0,1,1,2,3,8,1,0,0,7,2025-12-02 06:06:35
13270,2025,BRA.1,3457,155156,2,0,0,1,0,0,0,0,0,0,0,0,7,3,4,2025-07-15 10:58:40
13270,2025,BRA.1,7635,155156,24,0,0,5,3,0,0,0,0,0,0,0,7,99,48,2025-12-02 06:06:36
13270,2025,BRA.1,6273,155584,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2025-12-02 06:06:33
13270,2025,BRA.1,9169,156502,16,7,16,10,3,0,0,2,0,4,9,2,0,2,11,2025-12-02 06:06:34
13270,2025,BRA.1,6270,157256,15,8,18,3,3,0,0,0,1,0,2,0,0,4,19,2025-12-02 06:06:34
13270,2025,BRA.1,9969,157743,24,1,17,12,3,0,0,0,2,2,8,2,0,7,24,2025-12-02 06:06:30
13270,2025,BRA.1,874,157983,6,3,5,5,1,0,0,0,0,3,10,1,0,1,3,2025-07-10 04:37:14
13270,2025,BRA.1,9169,158201,25,4,7,30,2,0,0,2,4,15,29,4,0,5,16,2025-12-02 06:06:34
13270,2025,BRA.1,7632,158272,28,17,21,12,4,0,0,1,1,5,14,1,0,0,12,2025-12-02 06:06:29
13270,2025,BRA.1,3445,158382,36,0,0,4,2,0,0,0,1,0,0,0,81,82,38,2025-12-02 06:06:32
13270,2025,BRA.1,874,159255,22,5,20,31,4,0,0,3,4,18,48,6,0,1,18,2025-12-02 06:06:31
13270,2025,BRA.1,2026,162558,3,1,2,2,0,1,0,0,0,1,2,0,0,0,1,2025-12-02 06:06:36
13270,2025,BRA.1,3457,163467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-04 04:48:12
13270,2025,BRA.1,9967,164756,19,6,10,18,3,0,0,0,1,3,10,0,0,0,24,2025-12-02 06:06:29
13270,2025,BRA.1,1936,165232,28,0,25,40,5,0,0,7,8,16,48,10,0,0,34,2025-12-02 06:06:33
13270,2025,BRA.1,7635,165692,21,8,16,19,1,0,0,1,6,5,24,3,0,0,27,2025-12-02 06:06:36
13270,2025,BRA.1,3445,165749,22,4,9,25,1,0,0,0,4,13,42,6,0,0,20,2025-12-02 06:06:32
13270,2025,BRA.1,819,165778,17,3,21,11,5,0,0,1,0,4,11,3,0,0,7,2025-12-02 06:06:31
13270,2025,BRA.1,2674,165893,8,0,7,1,3,0,0,0,1,0,6,0,0,3,11,2025-12-02 06:06:35
13270,2025,BRA.1,3445,167845,26,13,26,22,2,0,0,0,4,10,36,2,0,0,9,2025-12-02 06:06:32
13270,2025,BRA.1,874,168981,22,0,20,8,4,0,0,0,3,10,21,3,0,1,32,2025-12-02 06:06:31
13270,2025,BRA.1,9169,169863,9,3,6,18,2,0,0,0,3,3,9,1,0,0,10,2025-06-04 04:48:09
13270,2025,BRA.1,3457,169888,5,4,0,4,0,0,0,0,0,1,3,0,0,0,3,2025-12-02 06:06:37
13270,2025,BRA.1,6086,170362,13,4,17,7,5,0,0,0,0,4,8,3,0,0,10,2025-12-02 06:06:30
13270,2025,BRA.1,819,170369,19,6,15,6,2,1,0,1,0,3,5,1,0,1,11,2025-12-02 06:06:31
13270,2025,BRA.1,9969,170456,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:30
13270,2025,BRA.1,874,171652,11,8,4,10,0,0,0,2,1,4,12,0,0,0,6,2025-12-02 06:06:31
13270,2025,BRA.1,1936,171771,14,7,16,13,3,0,0,0,0,5,14,1,0,1,9,2025-09-14 05:20:45
13270,2025,BRA.1,6079,171993,31,1,43,30,11,0,0,0,1,2,17,1,0,0,37,2025-12-02 06:06:35
13270,2025,BRA.1,819,172269,15,3,30,5,3,0,0,2,0,3,22,0,0,0,14,2025-12-02 06:06:31
13270,2025,BRA.1,6272,172427,7,4,5,2,1,0,0,2,1,1,3,0,0,2,6,2025-06-11 04:51:34
13270,2025,BRA.1,6270,173351,33,3,39,50,9,0,0,2,4,3,17,0,0,5,53,2025-12-02 06:06:34
13270,2025,BRA.1,3445,173588,26,1,22,27,3,0,0,0,0,2,14,2,0,1,20,2025-12-02 06:06:32
13270,2025,BRA.1,2674,173621,11,4,9,8,0,0,0,0,1,1,6,0,0,0,8,2025-12-02 06:06:35
13270,2025,BRA.1,2026,173667,6,1,2,4,1,0,0,0,0,2,4,0,0,0,6,2025-12-02 06:06:36
13270,2025,BRA.1,9969,174395,14,9,9,8,3,1,0,1,0,7,21,0,0,0,6,2025-12-02 06:06:30
13270,2025,BRA.1,2022,174782,27,19,21,15,1,1,0,0,1,2,9,1,0,0,4,2025-12-02 06:06:31
13270,2025,BRA.1,7635,175092,31,3,28,48,10,0,0,6,7,10,25,3,0,0,45,2025-12-02 06:06:36
13270,2025,BRA.1,3445,175902,15,8,7,16,2,0,0,0,0,0,4,0,0,0,7,2025-12-02 06:06:32
13270,2025,BRA.1,7635,176379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-30 04:26:01
13270,2025,BRA.1,2022,176810,31,0,28,21,10,0,0,0,3,5,21,1,0,3,18,2025-12-02 06:06:31
13270,2025,BRA.1,3454,176895,33,7,31,43,3,0,1,1,8,22,69,14,0,0,39,2025-12-02 06:06:36
13270,2025,BRA.1,6086,177219,27,3,10,18,1,0,0,3,12,18,54,4,0,0,21,2025-12-02 06:06:30
13270,2025,BRA.1,2026,178062,9,7,7,2,1,1,0,0,6,3,9,1,0,0,8,2025-12-02 06:06:36
13270,2025,BRA.1,2022,178349,5,3,4,7,0,0,0,0,0,1,2,1,0,0,3,2025-05-13 04:48:48
13270,2025,BRA.1,7632,178349,21,7,8,22,1,0,0,2,6,5,19,2,0,0,12,2025-12-02 06:06:29
13270,2025,BRA.1,6273,178487,4,1,2,7,0,0,0,1,0,1,2,1,0,0,4,2025-12-02 06:06:33
13270,2025,BRA.1,2029,178927,3,0,10,2,1,0,0,0,1,0,1,0,0,0,1,2025-08-04 04:42:19
13270,2025,BRA.1,2674,178927,14,2,22,8,4,0,0,0,1,0,5,0,0,0,16,2025-12-02 06:06:35
13270,2025,BRA.1,819,179767,32,3,13,54,3,0,0,14,1,23,75,18,0,1,10,2025-12-02 06:06:31
13270,2025,BRA.1,7632,181657,29,0,23,11,5,2,1,1,3,3,12,0,0,3,29,2025-12-02 06:06:29
13270,2025,BRA.1,2022,182522,29,21,6,13,6,0,0,2,9,18,45,6,0,1,11,2025-12-02 06:06:31
13270,2025,BRA.1,1936,184081,11,6,5,0,0,0,0,0,0,3,4,0,0,0,10,2025-12-02 06:06:33
13270,2025,BRA.1,1936,184206,13,0,0,2,0,0,0,0,1,0,0,0,6,42,21,2025-12-02 06:06:33
13270,2025,BRA.1,9969,184403,18,11,20,5,3,0,0,0,2,1,6,0,0,1,10,2025-12-02 06:06:30
13270,2025,BRA.1,7632,184717,17,7,17,10,2,0,0,0,1,1,4,0,0,0,13,2025-12-02 06:06:29
13270,2025,BRA.1,2029,185994,1,0,2,1,0,0,0,0,0,1,1,0,0,0,2,2025-08-23 04:52:42
13270,2025,BRA.1,6273,185994,11,0,5,15,1,0,0,0,1,2,5,0,0,0,13,2025-12-02 06:06:33
13270,2025,BRA.1,6272,186507,4,0,0,1,0,0,0,0,0,0,0,0,0,13,9,2025-12-02 06:06:32
13270,2025,BRA.1,6270,186558,10,0,0,0,1,0,0,0,0,0,0,0,68,33,22,2025-09-03 05:01:03
13270,2025,BRA.1,3457,186589,18,4,30,12,7,0,0,0,0,2,15,1,0,0,10,2025-12-02 06:06:37
13270,2025,BRA.1,2029,186776,19,7,19,20,2,0,0,1,0,7,15,2,0,0,8,2025-12-02 06:06:34
13270,2025,BRA.1,6272,186832,29,16,13,20,2,0,0,1,3,7,24,2,0,2,20,2025-12-02 06:06:32
13270,2025,BRA.1,6272,187032,17,6,6,14,2,0,0,0,2,1,7,1,0,0,14,2025-12-02 06:06:32
13270,2025,BRA.1,6273,187100,18,0,23,27,3,0,0,1,0,15,37,6,0,1,19,2025-12-02 06:06:33
13270,2025,BRA.1,6273,187396,9,1,13,3,3,0,0,0,0,1,3,1,0,3,13,2025-12-02 06:06:33
13270,2025,BRA.1,2674,187848,6,1,8,5,1,0,0,0,0,0,0,0,0,1,4,2025-06-11 04:51:37
13270,2025,BRA.1,3445,188143,9,6,9,3,2,0,0,0,0,0,1,0,0,0,3,2025-12-02 06:06:32
13270,2025,BRA.1,819,188368,19,6,7,10,1,0,0,3,1,2,4,0,0,0,7,2025-12-02 06:06:31
13270,2025,BRA.1,1936,188485,27,8,37,14,2,1,0,0,1,6,24,2,0,1,22,2025-12-02 06:06:33
13270,2025,BRA.1,6086,189900,12,9,8,3,1,0,0,0,2,3,9,1,0,0,2,2025-12-02 06:06:30
13270,2025,BRA.1,2026,190483,30,8,29,43,10,0,0,4,6,25,72,8,0,0,26,2025-12-02 06:06:36
13270,2025,BRA.1,3457,191639,18,0,21,5,6,0,0,2,3,7,12,2,0,0,19,2025-12-02 06:06:37
13270,2025,BRA.1,6270,191701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:34
13270,2025,BRA.1,7632,191995,20,2,16,3,3,1,0,0,1,6,16,3,0,3,20,2025-12-02 06:06:29
13270,2025,BRA.1,9967,191997,11,1,1,3,0,0,0,0,0,0,0,0,80,28,9,2025-08-16 04:45:05
13270,2025,BRA.1,1936,192234,17,12,8,18,3,0,0,1,0,1,8,0,0,0,12,2025-12-02 06:06:33
13270,2025,BRA.1,6272,192710,25,13,17,26,3,0,0,0,7,13,34,7,0,0,21,2025-12-02 06:06:32
13270,2025,BRA.1,874,193634,25,15,9,22,4,1,0,1,4,4,19,0,0,0,18,2025-12-02 06:06:31
13270,2025,BRA.1,2022,193755,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-11 04:51:33
13270,2025,BRA.1,2026,193755,8,5,6,4,2,0,0,0,0,4,7,1,0,0,3,2025-12-02 06:06:36
13270,2025,BRA.1,2674,194039,5,2,1,6,1,0,0,0,1,1,6,0,0,0,3,2025-06-11 04:51:37
13270,2025,BRA.1,3445,194039,20,15,3,17,1,0,0,1,1,1,8,0,0,0,13,2025-12-02 06:06:32
13270,2025,BRA.1,874,194090,20,1,19,10,4,0,0,0,0,3,12,0,0,2,22,2025-12-02 06:06:31
13270,2025,BRA.1,6086,194929,3,3,1,0,1,0,0,0,0,1,1,0,0,0,1,2025-08-12 04:41:33
13270,2025,BRA.1,6086,195638,18,8,13,21,2,0,0,0,2,9,18,2,0,0,8,2025-12-02 06:06:30
13270,2025,BRA.1,6272,195743,27,11,39,16,6,0,0,1,6,10,28,3,0,1,22,2025-12-02 06:06:32
13270,2025,BRA.1,874,195756,27,11,18,5,4,0,0,0,4,1,6,0,0,0,25,2025-12-02 06:06:31
13270,2025,BRA.1,6273,196719,15,6,14,14,2,0,0,0,0,1,4,0,0,0,14,2025-12-02 06:06:33
13270,2025,BRA.1,9169,196824,35,0,31,71,4,0,0,2,5,4,29,0,0,2,34,2025-12-02 06:06:34
13270,2025,BRA.1,7635,196842,3,0,3,1,0,0,0,0,0,0,0,0,0,0,4,2025-07-31 04:38:38
13270,2025,BRA.1,6273,196849,29,5,18,34,6,0,0,1,4,10,26,3,0,3,25,2025-12-02 06:06:33
13270,2025,BRA.1,9169,196851,29,0,0,5,5,0,0,0,0,0,0,0,47,102,26,2025-12-02 06:06:34
13270,2025,BRA.1,2026,196855,5,1,2,2,0,0,0,0,0,0,0,0,0,0,5,2025-12-02 06:06:36
13270,2025,BRA.1,2674,196856,29,6,42,13,7,0,0,2,3,3,17,1,0,5,31,2025-12-02 06:06:35
13270,2025,BRA.1,3454,196873,11,4,12,10,3,0,0,0,0,0,2,0,0,0,10,2025-12-02 06:06:36
13270,2025,BRA.1,874,196879,3,2,2,2,0,0,0,0,0,0,1,0,0,1,2,2025-06-11 04:51:32
13270,2025,BRA.1,6273,196879,11,6,12,11,5,0,0,0,1,0,7,0,0,1,10,2025-12-02 06:06:33
13270,2025,BRA.1,9969,196880,22,14,23,20,4,0,0,0,3,7,20,2,0,0,5,2025-12-02 06:06:30
13270,2025,BRA.1,1936,197052,28,9,35,20,3,1,0,2,11,14,45,5,0,0,19,2025-12-02 06:06:33
13270,2025,BRA.1,3454,198108,6,5,4,4,0,0,0,0,0,1,1,0,0,0,4,2025-12-02 06:06:36
13270,2025,BRA.1,9169,198273,12,11,7,13,1,0,0,0,0,1,2,0,0,0,3,2025-12-02 06:06:34
13270,2025,BRA.1,3454,198302,27,4,26,41,3,0,0,0,1,4,16,1,0,0,29,2025-12-02 06:06:36
13270,2025,BRA.1,1936,198346,5,2,5,5,0,0,0,0,0,0,1,0,0,0,10,2025-12-02 06:06:33
13270,2025,BRA.1,9967,198360,31,5,11,20,3,0,0,6,2,23,55,11,0,0,21,2025-12-02 06:06:29
13270,2025,BRA.1,9169,198389,6,3,4,8,2,0,0,1,0,2,4,0,0,0,6,2025-06-04 04:48:09
13270,2025,BRA.1,6272,198392,17,9,25,25,3,1,0,2,6,6,30,1,0,0,12,2025-12-02 06:06:32
13270,2025,BRA.1,2674,198546,23,0,27,13,6,0,0,0,1,1,4,0,0,1,32,2025-12-02 06:06:35
13270,2025,BRA.1,2674,198561,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2025-08-27 04:54:13
13270,2025,BRA.1,9967,198561,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:29
13270,2025,BRA.1,6270,198580,7,5,3,2,1,0,0,0,2,0,4,0,0,1,6,2025-06-11 04:51:35
13270,2025,BRA.1,7635,198597,6,1,5,2,2,0,0,0,0,0,0,0,0,3,8,2025-10-27 05:12:03
13270,2025,BRA.1,9967,198761,23,2,18,11,6,0,0,0,0,4,15,1,0,2,19,2025-12-02 06:06:29
13270,2025,BRA.1,2026,198844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-16 04:45:12
13270,2025,BRA.1,6270,198844,17,0,0,3,4,0,0,0,0,0,0,0,0,47,27,2025-12-02 06:06:34
13270,2025,BRA.1,819,198940,22,13,13,5,0,0,0,3,3,6,29,1,0,0,5,2025-12-02 06:06:31
13270,2025,BRA.1,3445,198968,5,1,1,2,0,0,0,0,0,0,3,0,0,0,5,2025-12-02 06:06:32
13270,2025,BRA.1,2029,198983,26,0,0,10,2,0,0,0,0,0,0,0,85,57,21,2025-12-02 06:06:34
13270,2025,BRA.1,2026,199012,29,9,18,31,6,0,0,1,2,7,17,0,0,6,25,2025-12-02 06:06:36
13270,2025,BRA.1,2026,199013,33,0,0,6,3,0,0,0,1,0,0,0,122,102,37,2025-12-02 06:06:36
13270,2025,BRA.1,9967,199017,29,6,20,47,4,1,0,3,1,6,24,2,0,1,22,2025-12-02 06:06:29
13270,2025,BRA.1,3454,199024,4,1,1,0,0,0,0,0,0,0,1,0,0,2,4,2025-12-02 06:06:36
13270,2025,BRA.1,2026,199065,16,5,12,16,0,0,0,1,0,0,7,0,0,1,5,2025-12-02 06:06:36
13270,2025,BRA.1,7635,199068,22,0,14,9,2,0,0,0,0,4,10,1,0,0,42,2025-12-02 06:06:36
13270,2025,BRA.1,6273,199101,3,0,0,3,0,0,0,0,0,1,1,1,0,0,2,2025-12-02 06:06:33
13270,2025,BRA.1,6270,199679,23,8,27,16,5,0,0,2,4,11,23,2,0,1,23,2025-12-02 06:06:34
13270,2025,BRA.1,6079,199680,31,3,10,34,7,1,0,2,3,28,52,6,0,0,32,2025-12-02 06:06:35
13270,2025,BRA.1,6086,199734,25,5,21,10,3,0,0,4,1,6,25,4,0,0,11,2025-12-02 06:06:30
13270,2025,BRA.1,3457,199789,21,16,25,19,4,0,0,0,5,5,19,1,0,0,9,2025-12-02 06:06:37
13270,2025,BRA.1,3445,199958,14,1,22,22,5,0,0,1,2,8,18,3,0,0,9,2025-12-02 06:06:32
13270,2025,BRA.1,6272,200206,17,0,19,16,9,0,0,1,1,1,10,0,0,0,22,2025-12-02 06:06:32
13270,2025,BRA.1,6272,200826,11,3,6,4,1,0,0,0,1,1,6,1,0,3,16,2025-12-02 06:06:32
13270,2025,BRA.1,6272,201385,2,0,0,1,0,0,0,0,0,0,0,0,0,11,6,2025-12-02 06:06:32
13270,2025,BRA.1,2026,201531,22,1,18,14,4,0,0,0,2,4,14,3,0,8,28,2025-12-02 06:06:36
13270,2025,BRA.1,3445,201547,6,4,5,8,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:06:32
13270,2025,BRA.1,2029,201622,2,0,0,0,0,0,0,0,0,0,0,0,0,11,5,2025-12-02 06:06:34
13270,2025,BRA.1,2674,201660,26,4,37,53,5,0,0,0,1,4,28,1,0,0,28,2025-12-02 06:06:35
13270,2025,BRA.1,819,201683,31,12,44,39,8,0,0,0,13,22,53,8,0,0,15,2025-12-02 06:06:31
