seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13450,2025,DEN.1,11550,7421,7,7,4,1,0,0,0,1,0,0,2,0,0,0,5,2025-12-02 06:06:17
13450,2025,DEN.1,7853,99920,16,0,0,1,1,0,0,0,0,0,0,0,0,50,16,2025-12-02 06:06:15
13450,2025,DEN.1,12498,107063,4,2,1,2,0,0,0,1,0,2,4,1,0,0,8,2025-12-02 06:06:18
13450,2025,DEN.1,11550,108321,3,0,0,1,0,0,0,0,0,0,0,0,0,7,8,2025-12-02 06:06:17
13450,2025,DEN.1,7853,118411,17,0,16,14,2,0,0,0,0,15,34,7,0,0,16,2025-12-02 06:06:15
13450,2025,DEN.1,12498,121314,16,0,11,6,4,0,0,0,0,2,5,0,0,0,29,2025-12-02 06:06:18
13450,2025,DEN.1,3101,129916,5,3,1,4,0,0,0,0,0,0,0,0,0,0,4,2025-09-02 05:01:40
13450,2025,DEN.1,7853,133567,17,4,11,11,1,0,0,0,0,0,3,0,0,0,12,2025-12-02 06:06:15
13450,2025,DEN.1,130912,137481,9,6,2,3,0,0,0,1,0,2,2,1,0,0,9,2025-12-02 06:06:16
13450,2025,DEN.1,3101,145645,12,0,0,3,0,0,0,0,0,0,0,0,0,38,19,2025-12-02 06:06:17
13450,2025,DEN.1,3101,146803,16,0,8,19,2,0,0,1,0,5,22,2,0,0,25,2025-12-02 06:06:17
13450,2025,DEN.1,575,146804,9,5,5,3,2,0,0,0,0,4,12,2,0,0,7,2025-12-02 06:06:15
13450,2025,DEN.1,11550,147001,13,4,4,1,1,0,0,0,0,3,9,1,0,0,23,2025-12-02 06:06:17
13450,2025,DEN.1,607,150067,17,0,0,5,0,0,0,0,0,0,0,0,0,76,31,2025-12-02 06:06:18
13450,2025,DEN.1,909,151053,14,1,12,18,1,0,0,1,0,2,16,1,0,0,17,2025-12-02 06:06:16
13450,2025,DEN.1,909,151757,9,3,11,4,1,0,0,2,0,0,4,0,0,0,8,2025-12-02 06:06:16
13450,2025,DEN.1,572,152859,4,0,0,1,0,0,0,0,0,0,0,0,0,9,6,2025-12-02 06:06:16
13450,2025,DEN.1,11550,153120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:17
13450,2025,DEN.1,575,153822,13,5,9,11,1,1,0,2,0,4,12,1,0,0,6,2025-12-02 06:06:15
13450,2025,DEN.1,3132,159494,12,0,0,1,1,0,0,0,0,0,0,0,0,47,17,2025-12-02 06:06:17
13450,2025,DEN.1,11550,159996,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:06:17
13450,2025,DEN.1,909,162484,16,3,18,27,4,0,0,5,0,13,44,4,0,0,18,2025-12-02 06:06:16
13450,2025,DEN.1,909,172864,16,7,11,7,0,0,0,0,0,5,18,3,0,0,11,2025-12-02 06:06:16
13450,2025,DEN.1,572,176497,16,7,14,10,3,0,0,1,0,1,1,0,0,0,11,2025-12-02 06:06:16
13450,2025,DEN.1,909,176668,11,7,8,3,1,0,0,0,0,2,10,0,0,0,7,2025-12-02 06:06:16
13450,2025,DEN.1,3132,178241,13,6,12,8,1,0,0,0,0,0,5,0,0,0,7,2025-12-02 06:06:17
13450,2025,DEN.1,3132,178351,5,0,0,0,1,0,0,0,0,0,0,0,0,11,5,2025-12-02 06:06:17
13450,2025,DEN.1,3132,182080,16,0,9,9,5,0,0,0,0,5,8,2,0,0,19,2025-12-02 06:06:17
13450,2025,DEN.1,3132,185926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:17
13450,2025,DEN.1,8118,186179,17,0,3,12,1,0,0,3,0,1,6,0,0,0,23,2025-12-02 06:06:18
13450,2025,DEN.1,909,186491,16,3,26,13,4,0,0,1,0,1,12,1,0,0,16,2025-12-02 06:06:16
13450,2025,DEN.1,575,189653,11,0,11,8,1,0,0,2,0,1,13,0,0,0,10,2025-12-02 06:06:15
13450,2025,DEN.1,7853,191167,15,0,21,14,3,0,0,2,0,2,10,1,0,0,13,2025-12-02 06:06:15
13450,2025,DEN.1,909,192115,10,6,8,2,1,0,0,0,0,0,1,0,0,0,6,2025-12-02 06:06:16
13450,2025,DEN.1,572,192660,10,0,17,8,2,1,0,1,0,2,13,1,0,0,5,2025-12-02 06:06:16
13450,2025,DEN.1,607,192926,10,8,5,2,1,0,0,0,0,1,3,0,0,0,7,2025-12-02 06:06:18
13450,2025,DEN.1,909,193621,3,0,3,3,0,0,0,0,0,0,2,0,0,0,8,2025-08-07 04:45:57
13450,2025,DEN.1,11550,193621,14,0,14,15,1,0,0,3,0,1,10,0,0,0,32,2025-12-02 06:06:17
13450,2025,DEN.1,11550,194215,9,0,0,1,0,0,0,0,0,0,0,0,0,22,16,2025-12-02 06:06:17
13450,2025,DEN.1,575,196192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:15
13450,2025,DEN.1,12498,199274,14,1,7,4,0,0,0,2,0,4,15,0,0,0,25,2025-12-02 06:06:18
13450,2025,DEN.1,909,199330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:16
13450,2025,DEN.1,3101,202681,9,1,6,15,2,0,0,0,0,7,19,3,0,0,14,2025-12-02 06:06:17
13450,2025,DEN.1,3132,206150,17,0,10,14,0,0,1,0,0,3,9,0,0,0,22,2025-12-02 06:06:17
13450,2025,DEN.1,607,206211,17,0,3,5,0,0,0,0,0,7,21,2,0,0,31,2025-12-02 06:06:18
13450,2025,DEN.1,909,206530,17,4,8,17,0,0,0,2,0,15,37,5,0,0,20,2025-12-02 06:06:16
13450,2025,DEN.1,12498,206865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:18
13450,2025,DEN.1,11550,207430,17,0,10,5,1,0,0,0,0,7,15,1,0,0,29,2025-12-02 06:06:17
13450,2025,DEN.1,12498,213491,12,0,9,9,2,0,0,2,0,4,24,2,0,0,19,2025-12-02 06:06:18
