seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13531,2025,ENG.2,383,4599,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:08:27
13531,2025,ENG.2,385,4775,13,2,7,7,5,0,0,2,0,4,15,1,0,0,12,2025-12-02 06:08:24
13531,2025,ENG.2,374,5289,14,3,20,12,0,0,0,3,7,8,27,3,0,0,9,2025-12-02 06:08:22
13531,2025,ENG.2,373,9426,8,4,6,1,1,0,0,0,0,0,3,0,0,0,4,2025-12-02 06:08:22
13531,2025,ENG.2,394,10176,17,0,21,10,7,0,0,0,0,2,9,0,0,0,17,2025-12-02 06:08:24
13531,2025,ENG.2,399,13282,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:08:25
13531,2025,ENG.2,352,17861,4,0,0,0,0,0,0,0,0,0,0,0,0,16,7,2025-12-02 06:08:27
13531,2025,ENG.2,311,18973,15,2,8,7,1,0,0,1,0,0,7,0,0,0,21,2025-12-02 06:08:24
13531,2025,ENG.2,352,26614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:08:27
13531,2025,ENG.2,311,28761,11,8,8,3,2,0,0,0,1,1,4,1,0,0,4,2025-12-02 06:08:24
13531,2025,ENG.2,336,30173,11,9,6,4,1,0,0,1,2,2,6,0,0,0,4,2025-12-02 06:08:26
13531,2025,ENG.2,373,31810,8,6,1,2,0,0,0,0,0,0,1,0,0,0,7,2025-12-02 06:08:22
13531,2025,ENG.2,336,40192,12,1,13,9,1,0,0,1,1,4,13,4,0,0,5,2025-12-02 06:08:26
13531,2025,ENG.2,336,40424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:08:26
13531,2025,ENG.2,333,41011,9,2,7,8,2,0,0,0,0,2,9,0,0,0,8,2025-12-02 06:08:21
13531,2025,ENG.2,333,41966,13,0,1,11,1,0,0,1,1,3,4,1,0,0,11,2025-12-02 06:08:21
