seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13646,2025,ENG.W.1,19976,23830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:42
13646,2025,ENG.W.1,20061,134423,6,6,3,3,0,0,0,0,0,1,2,0,0,0,0,2025-12-02 06:04:45
13646,2025,ENG.W.1,21053,140019,9,0,13,9,3,0,0,2,1,4,6,2,0,0,19,2025-12-02 06:04:44
13646,2025,ENG.W.1,21053,144829,9,0,7,5,1,0,0,1,1,3,5,2,0,0,18,2025-12-02 06:04:44
13646,2025,ENG.W.1,19973,158678,9,2,9,8,1,0,0,0,2,6,13,1,0,0,5,2025-12-02 06:04:42
13646,2025,ENG.W.1,19970,158683,7,7,0,2,0,0,0,0,1,3,7,2,0,0,1,2025-12-02 06:04:43
13646,2025,ENG.W.1,21036,158693,9,1,8,3,2,0,0,1,0,2,5,1,0,0,14,2025-12-02 06:04:43
13646,2025,ENG.W.1,21053,158770,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:04:44
13646,2025,ENG.W.1,19973,176041,7,0,2,6,0,0,0,0,0,1,4,0,0,0,6,2025-12-02 06:04:42
13646,2025,ENG.W.1,19975,188069,9,0,19,22,1,0,0,1,2,6,23,1,0,0,20,2025-12-02 06:04:45
13646,2025,ENG.W.1,19971,188447,5,0,2,2,0,0,0,0,1,1,3,0,0,0,10,2025-12-02 06:04:44
13646,2025,ENG.W.1,19970,188448,4,2,1,3,0,0,0,0,0,0,2,0,0,0,0,2025-12-02 06:04:43
13646,2025,ENG.W.1,19257,204659,6,0,2,3,1,0,0,1,0,1,5,0,0,0,7,2025-12-02 06:04:44
13646,2025,ENG.W.1,20061,208938,8,0,0,1,0,0,0,0,0,0,0,0,0,16,6,2025-12-02 06:04:45
13646,2025,ENG.W.1,19972,209174,3,0,0,1,0,0,0,0,0,0,0,0,0,7,5,2025-12-02 06:04:43
13646,2025,ENG.W.1,20707,209364,7,0,0,3,0,0,0,0,0,0,0,0,0,15,7,2025-12-02 06:04:42
13646,2025,ENG.W.1,19972,211151,9,5,2,2,1,0,0,1,5,1,7,0,0,0,13,2025-12-02 06:04:43
13646,2025,ENG.W.1,21053,211733,9,8,0,1,0,0,0,0,0,1,2,0,0,0,9,2025-12-02 06:04:44
13646,2025,ENG.W.1,21036,213939,4,0,3,1,0,0,0,0,0,0,0,0,0,0,9,2025-12-02 06:04:43
13646,2025,ENG.W.1,19973,219079,9,0,5,11,2,0,0,0,0,3,5,0,0,0,6,2025-12-02 06:04:42
13646,2025,ENG.W.1,19976,219773,7,0,0,3,0,0,0,1,0,6,8,2,0,0,6,2025-12-02 06:04:42
13646,2025,ENG.W.1,21053,219819,7,5,4,0,0,0,0,0,0,2,2,0,0,0,7,2025-12-02 06:04:44
13646,2025,ENG.W.1,19973,219822,9,0,2,3,0,0,0,1,0,0,2,0,0,0,8,2025-12-02 06:04:42
13646,2025,ENG.W.1,19975,219825,9,0,13,13,3,0,0,0,0,2,11,0,0,0,19,2025-12-02 06:04:45
13646,2025,ENG.W.1,19257,219945,9,0,5,4,0,0,0,1,0,11,28,3,0,0,7,2025-12-02 06:04:44
13646,2025,ENG.W.1,20061,219947,9,1,3,2,1,0,0,1,0,0,2,0,0,0,9,2025-12-02 06:04:45
13646,2025,ENG.W.1,20707,220024,5,0,8,5,1,0,0,1,0,0,2,0,0,0,7,2025-12-02 06:04:42
13646,2025,ENG.W.1,19257,223470,7,0,0,1,0,0,0,0,0,0,0,0,0,14,7,2025-12-02 06:04:44
13646,2025,ENG.W.1,20062,226804,7,7,3,0,2,0,0,0,1,0,3,0,0,0,4,2025-12-02 06:04:45
13646,2025,ENG.W.1,19257,229456,5,5,2,0,0,0,0,0,1,2,2,1,0,0,2,2025-12-02 06:04:44
13646,2025,ENG.W.1,19971,230835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:44
13646,2025,ENG.W.1,19975,235712,9,0,7,0,1,0,0,0,1,0,4,0,0,0,20,2025-12-02 06:04:45
13646,2025,ENG.W.1,19970,236710,8,1,2,4,1,0,0,2,0,2,6,1,0,0,5,2025-12-02 06:04:43
13646,2025,ENG.W.1,19973,240274,8,4,4,3,0,0,0,2,2,12,24,4,0,0,3,2025-12-02 06:04:42
13646,2025,ENG.W.1,20061,240277,8,3,2,3,0,0,0,1,0,0,8,0,0,0,5,2025-12-02 06:04:45
13646,2025,ENG.W.1,21053,246314,9,0,10,18,3,0,0,1,1,5,17,3,0,0,14,2025-12-02 06:04:44
13646,2025,ENG.W.1,21036,248450,5,1,2,1,0,0,0,0,0,0,0,0,0,0,10,2025-12-02 06:04:43
13646,2025,ENG.W.1,20707,248769,8,2,4,5,1,0,0,0,2,2,10,0,0,0,7,2025-12-02 06:04:42
13646,2025,ENG.W.1,19970,248770,9,0,10,1,3,0,0,0,0,1,6,0,0,0,5,2025-12-02 06:04:43
13646,2025,ENG.W.1,19257,249105,9,1,5,4,0,0,0,2,1,0,4,0,0,0,7,2025-12-02 06:04:44
13646,2025,ENG.W.1,19976,249106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:42
13646,2025,ENG.W.1,20061,252082,2,2,0,1,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:04:45
13646,2025,ENG.W.1,19973,252339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:42
13646,2025,ENG.W.1,19975,252347,5,1,1,3,0,0,0,0,0,1,5,0,0,0,7,2025-12-02 06:04:45
13646,2025,ENG.W.1,21053,252367,8,2,9,5,2,0,0,0,0,2,6,0,0,0,8,2025-12-02 06:04:44
13646,2025,ENG.W.1,19970,255181,9,0,14,1,1,0,0,0,0,3,7,0,0,0,5,2025-12-02 06:04:43
13646,2025,ENG.W.1,21053,255462,8,0,4,11,0,0,0,0,0,1,3,1,0,0,14,2025-12-02 06:04:44
13646,2025,ENG.W.1,19972,256223,9,4,6,8,0,0,0,0,0,2,8,1,0,0,7,2025-12-02 06:04:43
13646,2025,ENG.W.1,19257,256228,9,0,3,5,0,0,0,0,0,3,12,1,0,0,9,2025-12-02 06:04:44
13646,2025,ENG.W.1,19973,257473,9,0,3,2,0,0,0,2,0,3,9,1,0,0,5,2025-12-02 06:04:42
13646,2025,ENG.W.1,19970,257483,6,4,1,2,0,0,0,0,0,0,4,0,0,0,1,2025-12-02 06:04:43
13646,2025,ENG.W.1,19976,257536,8,2,4,0,1,0,0,1,1,3,4,0,0,0,6,2025-12-02 06:04:42
13646,2025,ENG.W.1,19970,257545,9,1,7,14,2,0,0,0,0,8,22,1,0,0,4,2025-12-02 06:04:43
13646,2025,ENG.W.1,21036,257569,7,0,6,5,1,0,0,1,1,0,3,0,0,0,9,2025-12-02 06:04:43
13646,2025,ENG.W.1,19975,259308,8,3,2,2,0,0,0,0,0,3,6,0,0,0,11,2025-12-02 06:04:45
13646,2025,ENG.W.1,19971,259312,6,0,2,1,1,0,0,0,0,0,0,0,0,0,12,2025-12-02 06:04:44
13646,2025,ENG.W.1,19972,259315,4,3,6,1,0,0,0,1,0,0,0,0,0,0,4,2025-12-02 06:04:43
13646,2025,ENG.W.1,19973,259331,8,5,3,3,0,0,0,1,1,6,15,3,0,0,2,2025-12-02 06:04:42
13646,2025,ENG.W.1,19972,259860,6,3,2,5,0,0,1,0,2,2,3,1,0,0,6,2025-12-02 06:04:43
