seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13561,2025,ESP.1,3751,3368,13,4,11,17,0,0,0,0,3,8,22,4,0,0,13,2025-12-02 06:04:15
13561,2025,ESP.1,1538,3731,14,3,11,23,2,0,0,1,0,5,13,2,0,0,22,2025-12-02 06:04:17
13561,2025,ESP.1,84,11719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:17
13561,2025,ESP.1,94,16340,13,3,15,8,2,0,0,2,1,3,12,0,0,0,10,2025-12-02 06:04:19
13561,2025,ESP.1,9812,30377,13,1,15,4,1,0,0,0,3,2,7,0,0,0,19,2025-12-02 06:04:16
13561,2025,ESP.1,84,32501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:17
13561,2025,ESP.1,92,40202,9,6,1,7,0,0,0,0,0,0,2,0,0,0,5,2025-12-02 06:04:18
13561,2025,ESP.1,101,66410,4,4,1,2,2,0,0,0,0,1,1,0,0,0,1,2025-12-02 06:04:18
13561,2025,ESP.1,244,70224,11,5,5,6,0,0,0,1,0,2,9,0,0,0,6,2025-12-02 06:04:18
13561,2025,ESP.1,3751,74630,10,5,12,10,3,0,0,0,1,2,9,1,0,0,6,2025-12-02 06:04:15
13561,2025,ESP.1,1068,76017,11,2,15,14,2,0,0,0,2,10,20,1,0,0,4,2025-12-02 06:04:14
13561,2025,ESP.1,94,76884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:19
13561,2025,ESP.1,86,84349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:18
13561,2025,ESP.1,94,84349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-02 05:06:40
