seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13565,2025,ESP.W.1,21140,41988,8,0,0,1,0,0,0,0,0,0,0,0,0,29,18,2025-12-02 06:04:49
13565,2025,ESP.W.1,21428,127084,11,1,5,2,2,0,0,0,0,3,3,1,0,0,9,2025-12-02 06:04:51
13565,2025,ESP.W.1,21149,209921,21,10,6,3,1,0,0,0,0,1,1,0,0,0,20,2025-10-07 05:16:03
13565,2025,ESP.W.1,21428,219120,5,2,7,3,1,0,0,0,0,4,8,1,0,0,3,2025-12-02 06:04:51
13565,2025,ESP.W.1,21425,219830,11,3,9,2,2,0,0,0,0,8,13,4,0,0,8,2025-12-02 06:04:50
13565,2025,ESP.W.1,21149,219894,24,21,18,9,5,0,0,1,0,5,20,3,0,0,13,2025-10-07 05:16:03
13565,2025,ESP.W.1,131393,219902,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:04:47
13565,2025,ESP.W.1,21128,219938,10,3,7,9,1,0,0,0,0,10,18,3,0,0,6,2025-12-02 06:04:50
13565,2025,ESP.W.1,20091,219989,7,3,3,0,0,0,0,0,0,4,7,0,0,0,0,2025-12-02 06:04:47
13565,2025,ESP.W.1,20091,219995,11,3,5,7,1,0,0,3,0,11,26,4,0,0,1,2025-12-02 06:04:47
13565,2025,ESP.W.1,20091,219998,12,3,6,8,1,0,0,0,0,1,8,0,0,0,2,2025-12-02 06:04:47
13565,2025,ESP.W.1,20093,220002,12,0,0,2,0,0,0,0,0,0,0,0,0,37,12,2025-12-02 06:04:46
13565,2025,ESP.W.1,21149,220005,17,4,20,6,5,0,1,0,0,6,11,1,0,0,17,2025-10-07 05:16:03
13565,2025,ESP.W.1,21175,225794,11,0,9,6,1,0,0,0,0,0,10,0,0,0,18,2025-12-02 06:04:48
13565,2025,ESP.W.1,21428,226725,8,4,5,5,0,0,0,2,0,5,15,0,0,0,4,2025-12-02 06:04:51
13565,2025,ESP.W.1,21149,245184,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-10-07 05:16:03
13565,2025,ESP.W.1,21128,248832,8,3,2,2,0,0,0,1,0,0,3,0,0,0,4,2025-12-02 06:04:50
13565,2025,ESP.W.1,21145,249104,12,5,5,2,0,0,0,2,0,3,4,1,0,0,18,2025-12-02 06:04:48
13565,2025,ESP.W.1,20093,252358,10,2,1,4,0,0,0,2,0,7,22,4,0,0,4,2025-12-02 06:04:46
13565,2025,ESP.W.1,20093,252363,10,5,3,5,0,0,0,1,0,4,11,2,0,0,7,2025-12-02 06:04:46
13565,2025,ESP.W.1,20091,253699,9,2,2,5,0,0,0,2,0,9,34,4,0,0,1,2025-12-02 06:04:47
13565,2025,ESP.W.1,21140,255172,4,0,0,1,0,0,0,0,0,0,0,0,0,9,5,2025-12-02 06:04:49
13565,2025,ESP.W.1,20091,255815,10,3,6,1,1,0,0,4,0,3,13,1,0,0,1,2025-12-02 06:04:47
13565,2025,ESP.W.1,21128,257531,11,2,7,8,0,0,0,1,0,12,19,6,0,0,8,2025-12-02 06:04:50
13565,2025,ESP.W.1,21128,258818,3,1,2,2,0,0,0,0,0,1,2,0,0,0,0,2025-12-02 06:04:50
13565,2025,ESP.W.1,21149,258829,7,3,4,0,1,0,0,0,0,0,1,0,0,0,3,2025-12-02 06:04:49
13565,2025,ESP.W.1,21426,259774,12,2,7,3,2,0,0,0,0,0,3,0,0,0,21,2025-12-02 06:04:50
13565,2025,ESP.W.1,21128,264719,4,1,5,2,0,1,0,0,0,3,7,1,0,0,2,2025-12-02 06:04:50
13565,2025,ESP.W.1,20091,264734,6,1,4,4,0,0,0,3,0,5,16,2,0,0,1,2025-12-02 06:04:47
13565,2025,ESP.W.1,21137,264854,3,2,3,0,2,0,0,0,0,0,0,0,0,0,5,2025-12-02 06:04:46
13565,2025,ESP.W.1,21424,265534,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2025-12-02 06:04:51
13565,2025,ESP.W.1,21149,266890,24,9,21,11,5,0,0,0,0,2,7,0,0,0,20,2025-10-07 05:16:03
13565,2025,ESP.W.1,21128,268328,7,3,5,2,1,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:04:50
13565,2025,ESP.W.1,20091,268537,11,4,2,2,0,0,0,3,0,12,25,6,0,0,2,2025-12-02 06:04:47
13565,2025,ESP.W.1,21426,270036,10,1,1,10,1,0,0,0,0,1,5,0,0,0,18,2025-12-02 06:04:50
13565,2025,ESP.W.1,21149,270060,9,4,7,5,0,0,0,1,0,0,5,0,0,0,5,2025-12-02 06:04:49
13565,2025,ESP.W.1,21376,277246,9,2,10,11,2,0,0,1,0,3,8,1,0,0,9,2025-12-02 06:04:48
13565,2025,ESP.W.1,21140,279210,9,6,6,1,0,0,0,0,0,0,4,0,0,0,5,2025-12-02 06:04:49
13565,2025,ESP.W.1,21425,280993,12,5,9,14,1,0,0,0,0,9,20,1,0,0,11,2025-12-02 06:04:50
13565,2025,ESP.W.1,21128,281478,7,0,0,2,0,0,1,0,0,0,0,0,0,16,6,2025-12-02 06:04:50
13565,2025,ESP.W.1,21137,281624,11,0,17,19,4,0,0,0,0,0,4,0,0,0,31,2025-12-02 06:04:46
13565,2025,ESP.W.1,21145,281687,11,0,0,2,0,0,0,0,0,0,0,0,0,37,22,2025-12-02 06:04:48
13565,2025,ESP.W.1,21425,282852,12,1,2,10,0,0,0,1,0,8,12,2,0,0,11,2025-12-02 06:04:50
13565,2025,ESP.W.1,20091,282874,10,2,12,2,0,0,0,3,0,13,27,9,0,0,1,2025-12-02 06:04:47
13565,2025,ESP.W.1,21128,283001,10,5,2,5,0,0,0,1,0,7,18,2,0,0,5,2025-12-02 06:04:50
13565,2025,ESP.W.1,21149,284171,7,0,4,9,0,1,0,0,0,4,9,1,0,0,3,2025-12-02 06:04:49
13565,2025,ESP.W.1,21425,284171,6,0,3,8,0,1,0,0,0,3,8,1,0,0,2,2025-11-21 06:05:01
13565,2025,ESP.W.1,21128,285225,9,1,3,4,1,0,0,1,0,1,8,0,0,0,6,2025-12-02 06:04:50
13565,2025,ESP.W.1,20091,286327,12,3,1,2,0,0,0,2,0,5,8,1,0,0,1,2025-12-02 06:04:47
13565,2025,ESP.W.1,21149,286328,7,2,2,4,0,0,0,0,0,0,2,0,0,0,7,2025-12-02 06:04:49
13565,2025,ESP.W.1,21424,286329,11,2,9,8,2,0,0,0,0,2,2,0,0,0,14,2025-12-02 06:04:51
13565,2025,ESP.W.1,21154,286331,12,1,4,8,0,0,0,1,0,2,4,1,0,0,14,2025-12-02 06:04:49
13565,2025,ESP.W.1,21154,286332,9,8,2,4,1,0,0,0,0,0,7,0,0,0,6,2025-12-02 06:04:49
13565,2025,ESP.W.1,131393,286333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:47
13565,2025,ESP.W.1,21424,286335,11,2,15,4,1,0,0,1,0,1,3,0,0,0,14,2025-12-02 06:04:51
13565,2025,ESP.W.1,20091,286338,11,4,3,3,0,0,0,0,0,5,9,3,0,0,1,2025-12-02 06:04:47
13565,2025,ESP.W.1,21425,286342,11,0,9,4,3,0,0,1,0,1,6,1,0,0,11,2025-12-02 06:04:50
13565,2025,ESP.W.1,21137,286609,10,4,8,1,0,0,0,0,0,0,2,0,0,0,25,2025-12-02 06:04:46
13565,2025,ESP.W.1,21145,286612,3,1,2,6,0,0,0,0,0,2,5,0,0,0,1,2025-12-02 06:04:48
13565,2025,ESP.W.1,21175,286623,6,2,11,2,1,0,0,0,0,1,3,0,0,0,9,2025-12-02 06:04:48
13565,2025,ESP.W.1,21154,286885,3,3,0,0,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:04:49
13565,2025,ESP.W.1,21128,287392,9,1,14,3,3,0,0,0,0,2,6,1,0,0,5,2025-12-02 06:04:50
13565,2025,ESP.W.1,21128,288442,6,3,3,6,2,1,0,1,0,0,0,0,0,0,5,2025-12-02 06:04:50
13565,2025,ESP.W.1,21128,288443,12,3,3,9,1,0,0,6,0,3,8,0,0,0,8,2025-12-02 06:04:50
13565,2025,ESP.W.1,20091,288445,9,0,1,0,0,0,0,0,0,0,0,0,0,10,2,2025-12-02 06:04:47
13565,2025,ESP.W.1,21128,288446,5,0,3,2,1,0,0,0,0,2,2,2,0,0,1,2025-12-02 06:04:50
13565,2025,ESP.W.1,21424,288447,12,0,12,21,0,0,0,3,0,3,9,1,0,0,15,2025-12-02 06:04:51
13565,2025,ESP.W.1,21154,288682,10,0,4,8,3,0,0,0,0,0,0,0,0,0,10,2025-12-02 06:04:49
13565,2025,ESP.W.1,21425,295633,8,1,4,6,0,0,0,0,0,0,7,0,0,0,4,2025-12-02 06:04:50
13565,2025,ESP.W.1,20093,295634,6,5,0,0,0,0,0,1,0,0,2,0,0,0,1,2025-12-02 06:04:46
13565,2025,ESP.W.1,21149,295637,12,2,5,6,1,0,0,0,0,3,7,0,0,0,8,2025-12-02 06:04:49
13565,2025,ESP.W.1,20091,295641,11,2,2,14,0,0,0,4,0,20,53,9,0,0,1,2025-12-02 06:04:47
13565,2025,ESP.W.1,20091,295642,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2025-12-02 06:04:47
13565,2025,ESP.W.1,21149,296483,12,0,0,1,0,0,0,0,0,0,0,0,0,37,11,2025-12-02 06:04:49
13565,2025,ESP.W.1,20093,296509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:46
13565,2025,ESP.W.1,21428,298492,12,1,10,8,0,0,0,2,0,4,13,1,0,0,10,2025-12-02 06:04:51
13565,2025,ESP.W.1,21128,298670,8,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:04:50
13565,2025,ESP.W.1,21175,298688,10,0,3,21,1,0,0,0,0,4,13,1,0,0,22,2025-12-02 06:04:48
13565,2025,ESP.W.1,21175,298690,9,1,8,13,0,0,0,0,0,0,1,0,0,0,15,2025-12-02 06:04:48
13565,2025,ESP.W.1,21149,298705,12,0,10,11,1,0,0,0,0,11,20,3,0,0,11,2025-12-02 06:04:49
13565,2025,ESP.W.1,21128,298768,9,4,2,9,0,0,0,1,0,5,9,2,0,0,6,2025-12-02 06:04:50
13565,2025,ESP.W.1,21154,302454,11,4,10,8,2,0,0,1,0,2,9,0,0,0,11,2025-12-02 06:04:49
13565,2025,ESP.W.1,21428,303509,12,1,11,4,3,0,0,0,0,0,0,0,0,0,10,2025-12-02 06:04:51
13565,2025,ESP.W.1,20093,305982,6,2,1,3,1,0,0,1,0,7,12,0,0,0,7,2025-12-02 06:04:46
13565,2025,ESP.W.1,20091,309952,9,0,7,4,1,0,0,0,0,7,22,1,0,0,2,2025-12-02 06:04:47
13565,2025,ESP.W.1,20093,310885,10,6,3,11,0,0,0,0,0,3,10,0,0,0,3,2025-12-02 06:04:46
13565,2025,ESP.W.1,21140,310892,11,0,10,9,1,0,0,0,0,11,31,6,0,0,17,2025-12-02 06:04:49
13565,2025,ESP.W.1,21140,310929,11,0,11,14,2,0,0,0,0,7,14,1,0,0,18,2025-12-02 06:04:49
13565,2025,ESP.W.1,21154,311211,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-12-02 06:04:49
13565,2025,ESP.W.1,21140,312952,12,2,4,12,2,0,0,2,0,2,12,1,0,0,21,2025-12-02 06:04:49
13565,2025,ESP.W.1,21428,312953,8,4,0,0,1,0,0,0,0,3,4,1,0,0,3,2025-12-02 06:04:51
13565,2025,ESP.W.1,131393,313014,4,4,4,0,0,0,0,0,0,2,3,1,0,0,1,2025-12-02 06:04:47
13565,2025,ESP.W.1,21149,314172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-07 05:16:03
13565,2025,ESP.W.1,21425,315068,12,2,7,9,1,0,0,2,0,8,25,2,0,0,7,2025-12-02 06:04:50
13565,2025,ESP.W.1,21425,316036,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:04:50
13565,2025,ESP.W.1,21128,317627,5,0,0,1,0,0,0,0,0,0,0,0,0,15,4,2025-12-02 06:04:50
13565,2025,ESP.W.1,21428,317629,8,2,4,11,1,0,0,0,0,9,23,5,0,0,3,2025-12-02 06:04:51
13565,2025,ESP.W.1,21426,318594,11,1,9,7,3,0,0,0,0,1,3,0,0,0,23,2025-12-02 06:04:50
13565,2025,ESP.W.1,20093,320140,11,5,8,5,2,0,0,2,0,4,13,1,0,0,4,2025-12-02 06:04:46
13565,2025,ESP.W.1,21428,320143,11,0,5,21,1,0,0,2,0,2,10,0,0,0,10,2025-12-02 06:04:51
13565,2025,ESP.W.1,20091,320145,9,6,5,6,0,0,0,5,0,8,18,4,0,0,1,2025-12-02 06:04:47
13565,2025,ESP.W.1,21424,320239,10,1,6,8,0,0,0,1,0,8,17,3,0,0,11,2025-12-02 06:04:51
13565,2025,ESP.W.1,21128,320355,12,6,9,19,2,0,0,3,0,8,18,2,0,0,6,2025-12-02 06:04:50
13565,2025,ESP.W.1,131393,323315,12,0,5,2,1,0,0,3,0,3,6,1,0,0,8,2025-12-02 06:04:47
13565,2025,ESP.W.1,21175,327586,12,2,15,12,1,0,0,0,0,1,12,1,0,0,22,2025-12-02 06:04:48
13565,2025,ESP.W.1,21137,327724,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2025-12-02 06:04:46
13565,2025,ESP.W.1,21372,327778,11,5,11,8,1,0,1,1,0,2,5,1,0,0,5,2025-12-02 06:04:46
13565,2025,ESP.W.1,21428,328054,10,4,9,3,0,0,0,0,0,1,4,0,0,0,7,2025-12-02 06:04:51
13565,2025,ESP.W.1,21425,328078,12,3,13,7,1,0,0,3,0,1,7,1,0,0,6,2025-12-02 06:04:50
13565,2025,ESP.W.1,21149,328098,7,3,6,5,0,0,0,1,0,1,2,0,0,0,3,2025-12-02 06:04:49
13565,2025,ESP.W.1,21428,328111,9,3,5,4,0,0,0,0,0,0,1,0,0,0,6,2025-12-02 06:04:51
13565,2025,ESP.W.1,131393,328112,3,1,8,2,2,0,0,0,0,0,2,0,0,0,0,2025-12-02 06:04:47
13565,2025,ESP.W.1,21149,328115,7,4,3,1,1,0,0,0,0,0,1,0,0,0,1,2025-12-02 06:04:49
13565,2025,ESP.W.1,21424,328142,9,4,8,1,1,0,0,0,0,2,9,0,0,0,10,2025-12-02 06:04:51
13565,2025,ESP.W.1,20093,328198,10,0,8,3,2,1,0,0,0,2,3,2,0,0,10,2025-12-02 06:04:46
13565,2025,ESP.W.1,20093,328601,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:46
