seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13546,2025,FRA.1,180,10767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-07 05:20:34
13546,2025,FRA.1,6997,10767,6,0,7,8,1,0,1,0,0,1,3,0,0,0,12,2025-12-02 06:04:32
13546,2025,FRA.1,180,20975,7,2,2,9,1,0,0,0,0,6,17,0,0,0,10,2025-12-02 06:04:36
13546,2025,FRA.1,273,21990,7,1,13,7,5,0,0,0,0,1,6,0,0,0,18,2025-12-02 06:04:33
13546,2025,FRA.1,179,30302,14,4,12,7,1,0,0,1,3,2,4,2,0,0,15,2025-12-02 06:04:36
13546,2025,FRA.1,174,38721,7,2,5,14,2,0,0,3,0,0,5,0,0,0,7,2025-12-02 06:04:32
13546,2025,FRA.1,179,77072,13,1,13,2,3,0,0,1,1,0,4,0,0,0,19,2025-12-02 06:04:36
13546,2025,FRA.1,6851,86255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:35
13546,2025,FRA.1,166,88965,12,1,16,16,1,0,0,1,4,10,26,4,0,0,14,2025-12-02 06:04:33
13546,2025,FRA.1,169,97867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-02 05:06:45
13546,2025,FRA.1,175,101451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:33
13546,2025,FRA.1,6997,112988,8,1,2,3,0,0,0,0,0,0,3,0,0,0,10,2025-12-02 06:04:32
13546,2025,FRA.1,176,118279,1,0,2,2,0,0,0,0,0,0,5,0,0,0,0,2025-08-25 04:54:48
13546,2025,FRA.1,165,121406,4,2,3,1,1,0,0,0,0,1,3,0,0,0,0,2025-12-02 06:04:35
13546,2025,FRA.1,176,122260,12,4,7,6,0,0,0,5,4,11,22,5,0,0,11,2025-12-02 06:04:34
13546,2025,FRA.1,6851,122280,3,0,0,1,0,0,0,0,0,0,0,0,0,10,6,2025-12-02 06:04:35
13546,2025,FRA.1,166,123683,11,0,21,10,5,0,0,1,0,2,12,1,0,0,9,2025-12-02 06:04:33
13546,2025,FRA.1,6851,127572,4,3,1,1,0,0,0,0,0,0,0,0,0,0,4,2025-12-02 06:04:35
13546,2025,FRA.1,7868,127828,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:32
13546,2025,FRA.1,165,129859,12,6,15,14,0,0,0,0,3,3,5,2,0,0,7,2025-12-02 06:04:35
13546,2025,FRA.1,2502,130165,2,0,2,1,0,0,0,0,1,1,2,0,0,0,1,2025-12-02 06:04:35
13546,2025,FRA.1,165,131743,13,0,0,9,2,0,0,0,0,0,1,0,0,48,20,2025-12-02 06:04:35
13546,2025,FRA.1,174,134169,5,0,0,0,0,0,0,0,0,0,0,0,0,12,8,2025-12-02 06:04:32
13546,2025,FRA.1,273,137397,2,0,2,3,1,0,0,0,0,0,0,0,0,0,1,2025-09-02 05:06:43
13546,2025,FRA.1,7868,137403,10,6,4,4,0,0,0,0,0,0,2,0,0,0,5,2025-12-02 06:04:32
13546,2025,FRA.1,3236,138564,13,1,13,9,1,0,0,0,2,2,9,0,0,0,17,2025-12-02 06:04:33
13546,2025,FRA.1,174,138860,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:32
13546,2025,FRA.1,273,139363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:33
13546,2025,FRA.1,167,142743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:34
13546,2025,FRA.1,177,144280,8,2,7,6,0,0,0,0,0,0,4,0,0,0,17,2025-12-02 06:04:34
13546,2025,FRA.1,167,145190,11,4,19,20,1,1,0,1,2,1,7,0,0,0,7,2025-12-02 06:04:34
13546,2025,FRA.1,177,150283,8,2,3,2,0,0,0,0,0,1,3,0,0,0,14,2025-12-02 06:04:34
13546,2025,FRA.1,166,150451,12,1,10,7,3,0,0,0,0,1,5,1,0,0,12,2025-12-02 06:04:33
13546,2025,FRA.1,176,152270,4,1,2,2,1,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:04:34
13546,2025,FRA.1,174,155532,6,0,6,3,0,0,0,0,0,2,3,1,0,0,11,2025-12-02 06:04:32
13546,2025,FRA.1,175,156898,14,1,5,17,3,0,0,2,2,12,28,4,0,0,10,2025-12-02 06:04:33
13546,2025,FRA.1,2502,157963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:35
13546,2025,FRA.1,3236,158498,5,3,2,1,1,0,0,0,0,0,3,0,0,0,1,2025-12-02 06:04:33
13546,2025,FRA.1,160,159047,6,2,1,0,0,0,1,0,0,0,0,0,0,0,3,2025-12-02 06:04:35
13546,2025,FRA.1,176,159051,11,2,8,2,1,0,0,1,1,1,5,0,0,0,7,2025-12-02 06:04:34
13546,2025,FRA.1,174,159348,13,4,8,6,3,0,0,2,2,5,16,3,0,0,12,2025-12-02 06:04:32
13546,2025,FRA.1,176,159543,13,2,14,13,2,0,0,0,0,8,20,2,0,0,11,2025-12-02 06:04:34
13546,2025,FRA.1,169,164126,14,0,0,3,2,0,0,0,0,0,0,0,0,36,18,2025-12-02 06:04:36
13546,2025,FRA.1,172,164165,12,0,1,5,0,1,0,0,0,0,0,0,0,41,16,2025-12-02 06:04:31
