seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13623,2025,FRA.W.1,22329,108824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:09:30
13623,2025,FRA.W.1,19256,119954,5,2,6,2,1,0,0,1,0,1,2,0,0,0,1,2025-12-02 06:09:29
13623,2025,FRA.W.1,21639,158690,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:09:26
13623,2025,FRA.W.1,19256,158816,5,0,4,2,1,0,0,0,0,3,8,1,0,0,3,2025-12-02 06:09:29
13623,2025,FRA.W.1,21635,158818,8,0,1,1,4,0,0,0,0,0,0,0,0,25,11,2025-12-02 06:09:27
13623,2025,FRA.W.1,21637,176015,7,0,5,6,1,0,0,0,0,1,2,0,0,0,6,2025-12-02 06:09:26
13623,2025,FRA.W.1,19256,188067,8,4,3,1,1,0,0,2,0,13,23,3,0,0,2,2025-12-02 06:09:29
13623,2025,FRA.W.1,21963,209173,4,2,4,4,2,1,0,0,0,0,2,0,0,0,4,2025-12-02 06:09:30
13623,2025,FRA.W.1,19256,219121,6,3,2,1,1,0,0,1,0,5,8,1,0,0,3,2025-12-02 06:09:29
13623,2025,FRA.W.1,131298,219880,8,0,6,3,1,0,0,1,0,5,10,3,0,0,14,2025-12-02 06:09:27
13623,2025,FRA.W.1,19258,219934,7,0,3,4,1,0,0,0,0,1,4,1,0,0,9,2025-12-02 06:09:29
13623,2025,FRA.W.1,22329,220028,8,0,8,2,1,1,0,0,0,0,0,0,0,0,10,2025-12-02 06:09:30
13623,2025,FRA.W.1,21638,225064,7,0,5,7,0,0,0,0,0,1,2,0,0,0,17,2025-12-02 06:09:28
13623,2025,FRA.W.1,131297,227358,8,3,2,5,0,0,0,0,0,4,8,2,0,0,17,2025-12-02 06:09:27
13623,2025,FRA.W.1,19258,227388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:09:29
13623,2025,FRA.W.1,131297,227397,8,0,7,11,3,0,0,0,0,0,1,0,0,0,26,2025-12-02 06:09:27
13623,2025,FRA.W.1,19256,228716,5,0,7,4,0,0,0,0,0,4,11,3,0,0,4,2025-12-02 06:09:29
13623,2025,FRA.W.1,131298,234763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:09:27
13623,2025,FRA.W.1,19258,235658,8,3,2,3,0,0,0,0,0,2,2,0,0,0,8,2025-12-02 06:09:29
13623,2025,FRA.W.1,19258,240297,7,1,4,17,2,0,0,2,0,6,22,2,0,0,8,2025-12-02 06:09:29
13623,2025,FRA.W.1,19256,243031,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2025-12-02 06:09:29
13623,2025,FRA.W.1,21639,246852,7,1,12,6,1,0,0,0,0,6,16,1,0,0,7,2025-12-02 06:09:26
