seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13547,2025,GER.1,270,79941,12,0,0,0,0,0,0,0,0,0,0,0,0,41,24,2025-12-02 06:04:24
13547,2025,GER.1,132,84774,11,0,0,1,0,0,0,0,0,0,0,0,0,14,9,2025-12-02 06:04:21
13547,2025,GER.1,127,88865,7,2,9,7,1,2,0,1,0,3,13,1,0,0,7,2025-12-02 06:04:23
13547,2025,GER.1,132,97111,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2025-12-02 06:04:21
13547,2025,GER.1,132,113733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:21
13547,2025,GER.1,11420,119620,12,0,0,0,0,0,0,0,0,0,0,0,0,28,13,2025-12-02 06:04:23
13547,2025,GER.1,125,120829,12,3,9,8,1,0,0,2,1,4,7,1,0,0,18,2025-12-02 06:04:22
13547,2025,GER.1,122,121007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:22
13547,2025,GER.1,268,122273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:21
13547,2025,GER.1,126,122292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:23
13547,2025,GER.1,125,122396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:22
13547,2025,GER.1,125,128521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:22
13547,2025,GER.1,124,132659,9,3,9,3,0,0,0,1,0,1,8,0,0,0,4,2025-12-02 06:04:21
13547,2025,GER.1,2950,134103,10,0,7,8,1,0,0,0,8,4,13,1,0,0,19,2025-12-02 06:04:23
13547,2025,GER.1,7911,138213,12,0,0,2,0,0,0,0,0,0,0,0,0,36,17,2025-12-02 06:04:24
13547,2025,GER.1,7911,139520,12,4,3,8,1,0,0,3,0,8,16,3,0,0,11,2025-12-02 06:04:24
13547,2025,GER.1,3841,140624,5,1,3,0,2,0,0,0,0,1,2,0,0,0,10,2025-12-02 06:04:22
13547,2025,GER.1,11420,141055,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:23
13547,2025,GER.1,132,142200,12,1,11,19,0,0,0,3,9,22,42,14,0,0,9,2025-12-02 06:04:21
13547,2025,GER.1,125,143020,9,7,1,5,0,0,0,0,1,0,3,0,0,0,10,2025-12-02 06:04:22
13547,2025,GER.1,138,144130,9,4,3,0,0,0,0,1,0,4,11,0,0,0,8,2025-12-02 06:04:25
13547,2025,GER.1,2950,144620,10,5,9,3,2,0,0,0,1,0,3,0,0,0,11,2025-12-02 06:04:23
