seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13601,2025,GRE.1,21970,41190,10,2,10,8,0,1,0,1,0,1,4,0,0,0,16,2025-12-02 06:05:52
13601,2025,GRE.1,10418,44776,11,0,14,16,4,0,0,0,0,3,10,2,0,0,19,2025-12-02 06:05:50
13601,2025,GRE.1,11431,77131,12,0,17,9,2,0,0,1,0,1,6,1,0,0,15,2025-12-02 06:05:52
13601,2025,GRE.1,11431,77266,12,3,10,9,2,0,0,0,0,5,16,3,0,0,7,2025-12-02 06:05:52
13601,2025,GRE.1,605,107000,8,6,8,4,1,0,0,0,0,4,8,0,0,0,3,2025-12-02 06:05:51
13601,2025,GRE.1,21969,113188,6,3,5,3,3,0,0,0,0,0,1,0,0,0,7,2025-12-02 06:05:50
13601,2025,GRE.1,605,117239,12,2,14,5,2,0,0,2,0,9,21,7,0,0,6,2025-12-02 06:05:51
13601,2025,GRE.1,605,119088,7,0,4,16,0,0,0,1,0,0,2,0,0,0,5,2025-12-02 06:05:51
13601,2025,GRE.1,605,123560,11,0,12,2,1,0,0,0,0,0,6,0,0,0,9,2025-12-02 06:05:51
13601,2025,GRE.1,8354,123651,11,0,16,11,2,0,0,2,0,5,12,3,0,0,12,2025-12-02 06:05:49
13601,2025,GRE.1,21969,127362,6,1,8,7,2,0,0,1,0,1,1,0,0,0,4,2025-12-02 06:05:50
13601,2025,GRE.1,6790,129806,8,8,0,3,0,0,0,0,0,1,4,0,0,0,2,2025-12-02 06:05:49
13601,2025,GRE.1,21969,131766,9,1,14,13,4,0,0,0,0,1,6,0,0,0,9,2025-12-02 06:05:50
13601,2025,GRE.1,11553,131983,7,0,3,0,0,0,0,0,0,1,7,1,0,0,8,2025-12-02 06:05:49
13601,2025,GRE.1,6790,134049,6,3,3,6,1,0,0,0,0,0,2,0,0,0,5,2025-12-02 06:05:49
13601,2025,GRE.1,11431,135943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:52
13601,2025,GRE.1,435,136688,7,4,8,5,1,0,0,1,0,1,5,0,0,0,2,2025-12-02 06:05:51
