seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13654,2025,ITA.2,11137,26202,5,3,7,0,0,0,0,0,0,0,1,0,0,0,7,2025-12-02 06:05:45
13654,2025,ITA.2,3337,36884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:39
13654,2025,ITA.2,11139,41781,9,2,3,3,1,0,0,0,0,0,2,0,0,0,9,2025-12-02 06:05:44
13654,2025,ITA.2,2574,79852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:40
13654,2025,ITA.2,3290,89286,14,2,11,15,0,0,0,2,0,10,25,4,0,0,24,2025-12-02 06:05:42
13654,2025,ITA.2,3988,94817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:39
13654,2025,ITA.2,2734,107568,13,2,34,8,5,0,0,0,0,4,19,1,0,0,17,2025-12-02 06:05:43
13654,2025,ITA.2,3290,113572,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2025-12-02 06:05:42
13654,2025,ITA.2,3290,119285,13,0,20,12,2,1,0,0,0,0,6,0,0,0,27,2025-12-02 06:05:42
13654,2025,ITA.2,11137,119398,13,0,0,1,0,0,0,0,0,0,0,0,0,34,18,2025-12-02 06:05:45
13654,2025,ITA.2,2734,120643,14,4,4,6,0,0,0,2,0,15,41,5,0,0,13,2025-12-02 06:05:43
13654,2025,ITA.2,11139,122121,3,0,0,1,0,0,0,0,0,0,0,0,0,8,5,2025-12-02 06:05:44
13654,2025,ITA.2,3942,123552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:43
13654,2025,ITA.2,3988,125004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2025-12-02 06:05:39
13654,2025,ITA.2,2573,129881,14,0,0,3,1,0,0,0,0,0,0,0,0,28,9,2025-12-02 06:05:41
13654,2025,ITA.2,11137,130732,14,0,21,9,5,0,0,0,0,3,10,1,0,0,19,2025-12-02 06:05:45
13654,2025,ITA.2,4007,131209,14,2,17,12,2,0,0,1,0,4,16,1,0,0,8,2025-12-02 06:05:41
13654,2025,ITA.2,3257,132070,10,4,4,7,0,0,0,1,0,2,5,0,0,0,8,2025-12-02 06:05:39
13654,2025,ITA.2,2734,134433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:43
13654,2025,ITA.2,106,135258,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:05:38
13654,2025,ITA.2,2923,138836,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2025-12-02 06:05:42
13654,2025,ITA.2,3257,139418,14,1,11,10,3,0,0,2,0,11,30,4,0,0,16,2025-12-02 06:05:39
13654,2025,ITA.2,4055,139543,9,0,0,3,0,0,0,0,0,0,0,0,0,27,15,2025-12-02 06:05:44
13654,2025,ITA.2,4055,142814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:44
13654,2025,ITA.2,4055,142897,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:44
13654,2025,ITA.2,3952,143696,12,3,8,8,3,0,0,0,0,1,2,0,0,0,5,2025-12-02 06:05:42
13654,2025,ITA.2,4056,144668,8,2,9,8,1,0,0,0,0,4,10,3,0,0,6,2025-12-02 06:05:43
13654,2025,ITA.2,17530,145138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:44
13654,2025,ITA.2,106,149483,10,6,4,8,0,0,0,0,0,5,7,3,0,0,11,2025-12-02 06:05:38
13654,2025,ITA.2,3952,149578,1,1,0,1,0,0,0,0,0,0,2,0,0,0,1,2025-12-02 06:05:42
13654,2025,ITA.2,2734,150713,6,4,1,3,0,0,0,0,0,0,4,0,0,0,1,2025-12-02 06:05:43
13654,2025,ITA.2,11137,151281,12,5,5,7,2,0,0,0,0,2,6,1,0,0,11,2025-12-02 06:05:45
13654,2025,ITA.2,3257,151665,14,0,0,5,1,0,0,0,0,0,1,0,0,29,17,2025-12-02 06:05:39
13654,2025,ITA.2,11139,152597,5,1,7,1,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:05:44
13654,2025,ITA.2,2923,154564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:42
13654,2025,ITA.2,11137,155909,14,1,13,15,3,0,0,0,0,0,5,0,0,0,19,2025-12-02 06:05:45
13654,2025,ITA.2,4007,156792,8,4,6,9,1,0,0,1,0,1,9,0,0,0,2,2025-12-02 06:05:41
13654,2025,ITA.2,2573,156883,13,7,8,7,1,0,0,2,0,2,15,1,0,0,3,2025-12-02 06:05:41
13654,2025,ITA.2,3952,158469,13,1,13,15,5,0,0,0,0,2,4,1,0,0,13,2025-12-02 06:05:42
13654,2025,ITA.2,4055,159935,1,1,1,1,1,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:05:44
13654,2025,ITA.2,3257,159937,11,5,7,10,1,0,0,1,0,0,3,0,0,0,6,2025-12-02 06:05:39
13654,2025,ITA.2,3337,162589,12,1,17,16,3,0,0,1,0,3,15,1,0,0,10,2025-12-02 06:05:39
13654,2025,ITA.2,3952,162604,5,2,2,2,2,0,0,0,0,1,3,0,0,0,4,2025-12-02 06:05:42
13654,2025,ITA.2,106,164098,7,1,5,4,2,0,0,0,0,1,4,0,0,0,10,2025-12-02 06:05:38
13654,2025,ITA.2,4007,165490,11,0,21,14,4,1,0,2,0,4,10,3,0,0,6,2025-12-02 06:05:41
13654,2025,ITA.2,2734,165771,4,2,3,3,0,0,0,0,0,1,2,0,0,0,2,2025-12-02 06:05:43
13654,2025,ITA.2,2734,167727,5,3,2,1,1,1,0,0,0,0,1,0,0,0,4,2025-12-02 06:05:43
