seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13484,2025,NED.1,151,69579,5,4,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:04:41
13484,2025,NED.1,3735,79505,14,0,0,2,1,0,0,0,0,0,0,0,0,60,24,2025-12-02 06:04:42
13484,2025,NED.1,153,83494,14,4,9,20,1,0,0,0,0,10,26,3,0,0,8,2025-12-02 06:04:38
13484,2025,NED.1,139,83802,4,0,0,0,0,0,0,0,0,0,0,0,0,15,7,2025-12-02 06:04:37
13484,2025,NED.1,148,103485,12,0,16,2,2,0,0,6,1,7,26,1,0,0,13,2025-12-02 06:04:41
13484,2025,NED.1,147,116893,13,0,6,17,1,1,0,3,5,23,42,3,0,0,21,2025-12-02 06:04:40
13484,2025,NED.1,141,122289,11,0,5,6,0,1,0,3,1,2,8,1,0,0,15,2025-12-02 06:04:40
13484,2025,NED.1,3735,122946,9,9,1,1,0,0,0,0,0,0,0,0,0,0,4,2025-12-02 06:04:42
13484,2025,NED.1,147,122954,13,0,13,8,3,0,0,6,3,10,25,4,0,0,16,2025-12-02 06:04:40
13484,2025,NED.1,152,124932,14,0,26,22,3,0,0,0,4,14,27,6,0,0,19,2025-12-02 06:04:38
13484,2025,NED.1,152,125136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:38
13484,2025,NED.1,2727,125279,5,4,4,5,0,0,0,0,0,0,0,0,0,0,4,2025-12-02 06:04:38
13484,2025,NED.1,140,130177,3,1,0,0,0,0,0,0,0,0,0,0,0,12,5,2025-12-02 06:04:37
13484,2025,NED.1,153,131354,12,2,6,1,0,0,0,0,0,1,8,0,0,0,14,2025-12-02 06:04:38
13484,2025,NED.1,143,132666,12,2,9,10,1,0,0,2,1,0,1,0,0,0,16,2025-12-02 06:04:39
13484,2025,NED.1,141,137780,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2025-12-02 06:04:40
13484,2025,NED.1,147,137783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:40
13484,2025,NED.1,141,138171,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,2025-12-02 06:04:40
13484,2025,NED.1,151,138746,10,2,2,1,1,0,0,3,0,3,8,1,0,0,17,2025-12-02 06:04:41
13484,2025,NED.1,151,142517,11,2,5,3,5,0,0,0,1,1,9,0,0,0,19,2025-12-02 06:04:41
13484,2025,NED.1,2727,144339,12,0,9,2,0,0,0,1,0,0,1,0,0,0,18,2025-12-02 06:04:38
13484,2025,NED.1,152,148868,14,0,0,2,0,0,0,0,0,0,0,0,0,28,19,2025-12-02 06:04:38
13484,2025,NED.1,151,149301,12,0,12,9,1,1,0,0,0,2,4,0,0,0,23,2025-12-02 06:04:41
13484,2025,NED.1,139,149577,8,3,3,4,0,0,0,2,1,10,20,1,0,0,4,2025-12-02 06:04:37
13484,2025,NED.1,140,150166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:37
13484,2025,NED.1,140,150199,7,1,6,3,2,1,0,0,0,2,3,0,0,0,9,2025-12-02 06:04:37
13484,2025,NED.1,3708,150207,10,5,6,7,1,0,0,0,0,1,4,1,0,0,15,2025-12-02 06:04:40
13484,2025,NED.1,143,151900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:39
13484,2025,NED.1,3708,152154,12,7,11,7,0,0,0,0,4,3,12,1,0,0,17,2025-12-02 06:04:40
13484,2025,NED.1,3706,153764,9,0,7,0,1,0,0,0,1,4,7,2,0,0,16,2025-12-02 06:04:39
13484,2025,NED.1,147,154521,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:40
13484,2025,NED.1,143,155965,14,0,1,0,3,0,0,0,0,0,0,0,0,55,22,2025-12-02 06:04:39
13484,2025,NED.1,2565,156146,12,0,12,23,2,0,0,0,0,1,8,0,0,0,20,2025-12-02 06:04:41
13484,2025,NED.1,147,156836,11,7,6,8,0,0,0,2,3,3,7,1,0,0,10,2025-12-02 06:04:40
13484,2025,NED.1,143,156838,13,11,13,2,1,0,0,1,5,5,14,4,0,0,9,2025-12-02 06:04:39
13484,2025,NED.1,2566,157478,13,10,11,3,2,0,0,0,0,3,12,1,0,0,12,2025-12-02 06:04:37
13484,2025,NED.1,153,158143,10,1,6,7,0,0,0,0,0,2,6,0,0,0,9,2025-12-02 06:04:38
13484,2025,NED.1,141,159244,5,4,1,3,0,0,1,0,0,0,0,0,0,0,6,2025-12-02 06:04:40
13484,2025,NED.1,146,159252,14,0,22,13,3,0,0,1,2,2,9,1,0,0,24,2025-12-02 06:04:40
13484,2025,NED.1,153,164171,12,5,12,17,1,0,0,1,3,4,15,1,0,0,10,2025-12-02 06:04:38
13484,2025,NED.1,145,164264,11,11,3,0,0,0,0,0,1,3,6,1,0,0,2,2025-12-02 06:04:37
13484,2025,NED.1,2727,164393,13,9,5,1,0,0,0,0,0,4,9,2,0,0,11,2025-12-02 06:04:38
13484,2025,NED.1,141,164865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:40
13484,2025,NED.1,151,167731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:41
13484,2025,NED.1,148,168318,2,0,0,1,0,0,0,1,2,0,2,0,0,0,1,2025-12-02 06:04:41
13484,2025,NED.1,139,168993,14,7,6,7,1,0,0,1,0,3,11,2,0,0,9,2025-12-02 06:04:37
13484,2025,NED.1,152,169050,13,0,19,9,5,0,0,0,0,3,17,0,0,0,17,2025-12-02 06:04:38
13484,2025,NED.1,139,169661,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,2025-10-01 05:09:23
13484,2025,NED.1,153,177022,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2025-12-02 06:04:38
13484,2025,NED.1,139,177042,13,1,25,17,4,0,0,1,13,11,32,6,0,0,16,2025-12-02 06:04:37
13484,2025,NED.1,2727,177058,14,4,7,20,2,0,0,1,0,5,19,1,0,0,16,2025-12-02 06:04:38
13484,2025,NED.1,145,179181,14,0,21,12,3,0,0,0,4,3,8,1,0,0,18,2025-12-02 06:04:37
13484,2025,NED.1,3735,181345,10,1,10,10,0,0,0,1,0,1,8,0,0,0,14,2025-12-02 06:04:42
13484,2025,NED.1,142,182424,14,0,0,2,3,0,0,0,0,0,0,0,0,28,17,2025-12-02 06:04:39
13484,2025,NED.1,2727,184150,14,0,8,2,0,0,0,1,12,11,31,4,0,0,23,2025-12-02 06:04:38
13484,2025,NED.1,152,187956,9,4,5,5,1,0,0,1,0,7,10,1,0,0,6,2025-12-02 06:04:38
13484,2025,NED.1,152,188458,6,6,0,2,0,0,0,0,0,1,3,0,0,0,4,2025-12-02 06:04:38
13484,2025,NED.1,148,190976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:41
13484,2025,NED.1,146,190983,4,0,0,1,0,0,0,0,0,0,0,0,0,11,7,2025-12-02 06:04:40
13484,2025,NED.1,141,190996,13,11,3,2,1,0,0,0,0,3,5,0,0,0,5,2025-12-02 06:04:40
13484,2025,NED.1,145,191304,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2025-12-02 06:04:37
13484,2025,NED.1,146,192256,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:40
13484,2025,NED.1,3708,193763,14,0,5,6,2,0,0,0,0,4,7,3,0,0,34,2025-12-02 06:04:40
13484,2025,NED.1,3706,195502,10,10,4,1,0,0,0,0,1,1,5,1,0,0,3,2025-12-02 06:04:39
13484,2025,NED.1,139,196234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:37
13484,2025,NED.1,143,196353,14,4,8,8,1,0,0,1,1,9,30,1,0,0,13,2025-12-02 06:04:39
13484,2025,NED.1,2566,196688,12,0,0,2,0,0,0,0,0,0,0,0,0,52,14,2025-12-02 06:04:37
13484,2025,NED.1,3735,200158,14,0,13,5,1,0,0,2,1,3,10,1,0,0,22,2025-12-02 06:04:42
13484,2025,NED.1,147,200194,6,4,4,3,0,0,0,0,2,3,6,1,0,0,5,2025-12-02 06:04:40
13484,2025,NED.1,142,205024,5,4,3,1,1,0,0,1,1,2,6,0,0,0,1,2025-12-02 06:04:39
13484,2025,NED.1,142,205653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:39
13484,2025,NED.1,3735,205654,4,4,1,1,0,1,0,0,0,0,3,0,0,0,0,2025-12-02 06:04:42
13484,2025,NED.1,3708,205952,10,7,6,4,1,1,0,0,2,3,5,0,0,0,10,2025-12-02 06:04:40
13484,2025,NED.1,145,206463,6,6,4,0,1,0,0,0,1,1,9,1,0,0,1,2025-12-02 06:04:37
13484,2025,NED.1,3735,207421,12,8,10,7,2,0,0,0,2,1,6,0,0,0,13,2025-12-02 06:04:42
13484,2025,NED.1,151,207780,14,0,1,1,1,0,0,0,0,0,1,0,0,60,28,2025-12-02 06:04:41
13484,2025,NED.1,143,210810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:04:39
13484,2025,NED.1,152,214666,14,12,10,0,1,0,1,1,2,5,12,0,0,0,7,2025-12-02 06:04:38
13484,2025,NED.1,142,215172,12,8,11,2,3,0,0,0,0,2,4,1,0,0,3,2025-12-02 06:04:39
13484,2025,NED.1,147,217381,4,0,3,0,0,0,0,1,0,0,2,0,0,0,4,2025-09-02 05:04:39
13484,2025,NED.1,147,218237,7,1,2,6,0,0,0,0,0,1,5,0,0,0,10,2025-12-02 06:04:40
13484,2025,NED.1,3706,218424,14,0,4,3,0,0,0,2,0,2,6,0,0,0,24,2025-12-02 06:04:39
13484,2025,NED.1,146,218528,13,0,11,8,0,1,0,4,1,6,21,2,0,0,21,2025-12-02 06:04:40
13484,2025,NED.1,3706,218529,14,0,9,30,3,0,0,2,3,5,11,1,0,0,24,2025-12-02 06:04:39
13484,2025,NED.1,3708,218627,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2025-12-02 06:04:40
13484,2025,NED.1,151,218947,10,0,6,8,0,0,0,0,0,2,6,1,0,0,21,2025-12-02 06:04:41
13484,2025,NED.1,139,219284,3,2,3,1,0,0,0,0,1,2,4,1,0,0,1,2025-12-02 06:04:37
13484,2025,NED.1,141,221227,5,1,3,3,0,1,0,0,0,1,2,0,0,0,5,2025-12-02 06:04:40
13484,2025,NED.1,141,222274,6,3,6,5,1,0,0,0,0,0,3,0,0,0,7,2025-12-02 06:04:40
13484,2025,NED.1,151,223138,14,0,11,23,3,0,0,1,3,13,36,7,0,0,28,2025-12-02 06:04:41
13484,2025,NED.1,143,223161,14,0,10,19,1,0,0,2,6,8,11,0,0,0,18,2025-12-02 06:04:39
13484,2025,NED.1,153,223162,13,0,0,0,0,0,0,0,0,0,0,0,0,40,16,2025-12-02 06:04:38
13484,2025,NED.1,147,223312,6,0,2,3,0,0,0,2,1,1,5,1,0,0,7,2025-12-02 06:04:40
13484,2025,NED.1,152,224042,6,6,2,0,0,0,0,0,0,1,2,0,0,0,1,2025-12-02 06:04:38
