seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13589,2025,NED.W.1,20796,95226,7,0,1,1,1,0,0,1,0,6,11,4,0,0,2,2025-12-02 06:06:06
13589,2025,NED.W.1,20114,219951,7,0,8,11,0,0,0,6,2,18,36,3,0,0,6,2025-12-02 06:06:07
13589,2025,NED.W.1,21977,219955,8,0,4,7,2,0,0,1,8,14,27,7,0,0,12,2025-12-02 06:06:06
13589,2025,NED.W.1,20800,235656,8,1,8,2,1,0,0,1,3,6,12,1,0,0,19,2025-12-02 06:06:08
13589,2025,NED.W.1,20802,235660,4,2,0,1,1,0,1,0,0,0,0,0,0,0,1,2025-12-02 06:06:09
13589,2025,NED.W.1,20797,242307,8,0,2,2,1,0,0,4,11,16,29,4,0,0,10,2025-12-02 06:06:09
13589,2025,NED.W.1,20802,250645,6,1,1,0,0,0,0,0,0,2,3,2,0,0,4,2025-12-02 06:06:09
13589,2025,NED.W.1,20802,252364,7,0,2,2,0,0,0,5,1,5,10,1,0,0,6,2025-12-02 06:06:09
13589,2025,NED.W.1,20798,257446,7,0,1,3,0,0,0,0,0,0,0,0,0,27,19,2025-12-02 06:06:06
13589,2025,NED.W.1,20802,257550,8,0,0,1,0,0,0,0,0,0,0,0,0,19,6,2025-12-02 06:06:09
13589,2025,NED.W.1,20114,257565,8,0,0,0,0,0,0,0,0,0,0,0,0,18,7,2025-12-02 06:06:07
13589,2025,NED.W.1,21978,264732,7,1,2,1,0,0,0,0,0,0,1,0,0,0,9,2025-12-02 06:06:07
13589,2025,NED.W.1,20984,270057,8,1,4,3,0,0,0,1,5,2,8,1,0,0,6,2025-12-02 06:06:08
13589,2025,NED.W.1,20984,287380,8,0,5,5,1,0,0,0,4,6,18,3,0,0,7,2025-12-02 06:06:08
13589,2025,NED.W.1,20797,292684,8,0,2,2,0,0,0,0,0,0,1,0,0,0,10,2025-12-02 06:06:09
13589,2025,NED.W.1,20984,295646,8,0,0,2,0,0,0,0,0,0,0,0,0,24,8,2025-12-02 06:06:08
13589,2025,NED.W.1,20114,295877,8,0,1,6,0,0,0,0,1,0,3,0,0,0,7,2025-12-02 06:06:07
13589,2025,NED.W.1,20984,295890,2,0,2,0,0,0,0,0,0,1,2,0,0,0,2,2025-12-02 06:06:08
13589,2025,NED.W.1,20984,307769,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:08
13589,2025,NED.W.1,20802,309080,8,0,7,12,0,0,0,1,2,16,28,8,0,0,6,2025-12-02 06:06:09
13589,2025,NED.W.1,20796,309844,8,0,8,6,0,0,0,0,0,2,4,0,0,0,9,2025-12-02 06:06:06
13589,2025,NED.W.1,20984,309845,8,0,7,6,2,0,0,1,0,0,2,0,0,0,8,2025-12-02 06:06:08
13589,2025,NED.W.1,20984,309849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:08
13589,2025,NED.W.1,21978,309850,3,1,0,3,0,0,0,0,0,0,0,0,0,0,6,2025-12-02 06:06:07
13589,2025,NED.W.1,21977,309856,8,0,5,2,0,0,0,2,0,2,5,0,0,0,11,2025-12-02 06:06:06
13589,2025,NED.W.1,21978,309859,7,0,6,6,2,0,0,4,1,8,32,4,0,0,11,2025-12-02 06:06:07
13589,2025,NED.W.1,20802,309860,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2025-12-02 06:06:09
13589,2025,NED.W.1,20802,309861,8,1,3,10,0,0,0,1,4,6,12,4,0,0,5,2025-12-02 06:06:09
13589,2025,NED.W.1,20800,309866,8,1,7,1,2,0,0,1,0,1,4,0,0,0,19,2025-12-02 06:06:08
13589,2025,NED.W.1,131397,309868,8,0,8,5,0,0,0,0,0,0,0,0,0,0,19,2025-12-02 06:06:08
13589,2025,NED.W.1,21977,309869,8,0,14,6,1,0,0,2,1,0,0,0,0,0,12,2025-12-02 06:06:06
13589,2025,NED.W.1,20984,309871,3,1,1,1,0,0,0,0,0,1,4,1,0,0,1,2025-12-02 06:06:08
13589,2025,NED.W.1,131397,309872,6,1,6,5,1,0,0,2,5,6,7,1,0,0,15,2025-12-02 06:06:08
13589,2025,NED.W.1,20114,309875,5,2,1,0,0,0,0,2,0,3,9,0,0,0,3,2025-12-02 06:06:07
13589,2025,NED.W.1,22538,309893,8,1,3,5,0,0,0,0,0,1,3,0,0,0,29,2025-12-02 06:06:08
13589,2025,NED.W.1,20796,309894,8,3,6,1,0,0,0,0,0,1,4,0,0,0,6,2025-12-02 06:06:06
13589,2025,NED.W.1,22538,309902,5,2,3,0,0,0,0,0,1,0,1,0,0,0,9,2025-12-02 06:06:08
13589,2025,NED.W.1,21977,309914,7,7,2,1,1,0,0,0,2,3,7,2,0,0,3,2025-12-02 06:06:06
13589,2025,NED.W.1,20796,309916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:06
13589,2025,NED.W.1,20114,309920,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:07
13589,2025,NED.W.1,20802,309927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:06:09
13589,2025,NED.W.1,20114,309930,5,4,1,0,0,0,0,0,1,0,3,0,0,0,0,2025-12-02 06:06:07
13589,2025,NED.W.1,20984,309934,8,0,11,11,0,0,0,1,0,3,6,0,0,0,8,2025-12-02 06:06:08
13589,2025,NED.W.1,20797,309935,8,6,1,1,0,0,0,0,1,0,3,0,0,0,4,2025-12-02 06:06:09
