seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13567,2025,POR.1,21581,46976,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:05:04
13567,2025,POR.1,2994,50959,9,2,8,7,1,0,0,0,0,3,7,0,0,0,9,2025-12-02 06:05:03
13567,2025,POR.1,3696,75433,5,0,0,1,1,0,0,0,0,0,0,0,0,24,9,2025-12-02 06:05:06
13567,2025,POR.1,21610,77873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:05
13567,2025,POR.1,3472,82009,12,0,16,11,4,0,0,0,7,16,28,7,0,0,12,2025-12-02 06:05:04
13567,2025,POR.1,22064,82720,11,0,10,10,2,0,0,0,0,0,0,0,0,0,26,2025-12-02 06:05:02
13567,2025,POR.1,21613,85096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:03
13567,2025,POR.1,2994,92335,5,0,4,1,1,0,0,0,0,0,0,0,0,0,5,2025-12-02 06:05:03
13567,2025,POR.1,12706,93334,7,3,7,6,1,1,0,0,0,0,0,0,0,0,7,2025-12-02 06:05:07
13567,2025,POR.1,21613,97026,12,1,23,16,3,0,0,0,4,7,17,4,0,0,14,2025-12-02 06:05:03
13567,2025,POR.1,2994,98573,10,8,7,8,2,0,0,1,0,2,6,0,0,0,3,2025-12-02 06:05:03
13567,2025,POR.1,21581,104172,10,0,8,5,2,0,0,0,0,1,4,1,0,0,20,2025-12-02 06:05:04
13567,2025,POR.1,12698,105237,7,3,6,3,1,0,0,1,0,1,4,0,0,0,5,2025-12-02 06:05:05
13567,2025,POR.1,12215,116745,10,3,10,10,4,1,0,0,0,0,2,0,0,0,6,2025-12-02 06:05:06
13567,2025,POR.1,1929,119289,11,0,8,15,5,0,0,0,0,3,10,1,0,0,5,2025-12-02 06:05:03
13567,2025,POR.1,15784,119440,10,3,14,12,3,0,0,0,0,1,3,0,0,0,17,2025-12-02 06:05:03
13567,2025,POR.1,22064,119532,9,7,11,6,0,0,0,0,2,5,9,1,0,0,3,2025-12-02 06:05:02
13567,2025,POR.1,21613,120708,11,0,5,2,1,0,0,0,0,0,0,0,0,0,17,2025-12-02 06:05:03
13567,2025,POR.1,3472,124019,10,0,13,13,1,0,0,0,0,1,5,0,0,0,13,2025-12-02 06:05:04
13567,2025,POR.1,22064,124021,9,8,7,3,1,0,0,0,2,5,11,2,0,0,6,2025-12-02 06:05:02
13567,2025,POR.1,15784,124228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-13 04:44:09
13567,2025,POR.1,437,127420,5,3,3,2,1,0,0,0,4,3,6,1,0,0,1,2025-12-02 06:05:05
13567,2025,POR.1,5309,127575,12,3,10,21,3,0,0,0,3,6,15,3,0,0,12,2025-12-02 06:05:07
13567,2025,POR.1,21610,130499,12,0,1,1,1,0,0,0,0,0,0,0,0,33,18,2025-12-02 06:05:05
13567,2025,POR.1,22064,130792,7,5,4,6,0,0,0,0,0,1,5,0,0,0,9,2025-12-02 06:05:02
13567,2025,POR.1,22064,138975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:02
13567,2025,POR.1,12706,140388,9,1,15,4,3,0,0,0,4,0,2,0,0,0,10,2025-12-02 06:05:07
13567,2025,POR.1,12216,141624,12,0,0,1,1,0,0,0,0,0,0,0,0,27,18,2025-12-02 06:05:04
13567,2025,POR.1,12215,141692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:06
13567,2025,POR.1,437,142670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:05
13567,2025,POR.1,12216,144046,6,5,3,4,0,0,0,0,0,0,1,0,0,0,3,2025-12-02 06:05:04
13567,2025,POR.1,3696,144905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:06
13567,2025,POR.1,21581,149660,12,4,15,7,3,0,0,0,1,1,1,0,0,0,20,2025-12-02 06:05:04
13567,2025,POR.1,2994,151272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:03
13567,2025,POR.1,22064,151321,8,1,8,20,1,0,0,0,1,2,9,0,0,0,17,2025-12-02 06:05:02
13567,2025,POR.1,21581,156818,11,3,6,19,2,0,0,0,0,0,4,0,0,0,16,2025-12-02 06:05:04
13567,2025,POR.1,3696,158211,7,0,0,2,1,0,0,0,0,0,0,0,0,20,8,2025-12-02 06:05:06
13567,2025,POR.1,3472,165576,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-12-02 06:05:04
13567,2025,POR.1,3699,172285,10,2,4,3,0,0,0,3,1,9,24,0,0,0,4,2025-12-02 06:05:05
13567,2025,POR.1,3472,173228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:04
13567,2025,POR.1,12706,176423,6,0,5,2,1,0,0,2,0,5,9,1,0,0,6,2025-12-02 06:05:07
13567,2025,POR.1,3696,177563,11,0,16,15,5,0,0,0,0,2,7,1,0,0,14,2025-12-02 06:05:06
13567,2025,POR.1,3472,177690,7,7,2,1,0,0,0,0,0,1,1,0,0,0,5,2025-12-02 06:05:04
13567,2025,POR.1,2250,177898,10,0,0,0,1,0,0,0,0,0,0,0,0,20,5,2025-12-02 06:05:07
13567,2025,POR.1,12215,177918,10,0,6,3,2,0,0,0,0,1,3,0,0,0,12,2025-12-02 06:05:06
13567,2025,POR.1,15784,178579,10,4,12,6,1,0,0,1,0,4,11,0,0,0,14,2025-12-02 06:05:03
13567,2025,POR.1,12215,181290,6,0,8,3,2,0,0,0,0,0,2,0,0,0,8,2025-12-02 06:05:06
13567,2025,POR.1,3699,183070,12,0,9,3,2,0,0,0,1,1,8,0,0,0,6,2025-12-02 06:05:05
13567,2025,POR.1,3472,183972,10,8,7,4,2,0,0,0,0,0,2,0,0,0,8,2025-12-02 06:05:04
13567,2025,POR.1,22064,184036,5,0,3,2,1,0,0,0,0,1,7,0,0,0,8,2025-12-02 06:05:02
13567,2025,POR.1,2994,184423,9,2,4,5,0,0,0,0,0,13,20,4,0,0,6,2025-12-02 06:05:03
13567,2025,POR.1,12216,185343,12,0,13,13,4,0,0,3,2,14,28,3,0,0,18,2025-12-02 06:05:04
13567,2025,POR.1,22064,185902,11,2,20,11,1,0,0,0,0,0,4,0,0,0,23,2025-12-02 06:05:02
13567,2025,POR.1,12706,187884,9,3,9,6,1,0,0,0,1,3,14,1,0,0,8,2025-12-02 06:05:07
13567,2025,POR.1,5309,189474,4,1,8,6,3,0,0,0,0,2,7,1,0,0,7,2025-09-04 05:03:18
