seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13496,2025,SCO.1,264,7331,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2025-12-02 06:09:34
13496,2025,SCO.1,259,16154,13,5,18,11,4,0,0,2,0,8,17,0,0,0,18,2025-12-02 06:09:36
13496,2025,SCO.1,257,16264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:09:36
13496,2025,SCO.1,262,17617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:09:35
13496,2025,SCO.1,264,17902,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2025-12-02 06:09:34
13496,2025,SCO.1,256,39902,4,1,4,0,1,0,0,0,0,4,14,2,0,0,5,2025-12-02 06:09:34
13496,2025,SCO.1,256,40200,13,0,0,3,2,0,0,0,0,0,0,0,0,25,9,2025-12-02 06:09:34
13496,2025,SCO.1,261,40299,13,0,10,20,1,0,0,0,0,1,5,1,0,0,21,2025-12-02 06:09:34
13496,2025,SCO.1,261,46115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-27 05:10:50
13496,2025,SCO.1,254,77907,12,8,9,7,2,0,0,0,0,6,10,3,0,0,5,2025-12-02 06:09:35
13496,2025,SCO.1,254,84036,13,9,7,1,1,0,0,0,0,5,10,1,0,0,9,2025-12-02 06:09:35
13496,2025,SCO.1,256,84049,13,1,16,4,2,0,0,0,0,6,21,2,0,0,9,2025-12-02 06:09:34
13496,2025,SCO.1,260,103404,14,0,20,30,4,0,0,1,0,9,26,3,0,0,24,2025-12-02 06:09:36
13496,2025,SCO.1,254,107568,14,0,12,17,2,0,0,0,0,3,5,1,0,0,21,2025-12-02 06:09:35
13496,2025,SCO.1,259,108365,5,5,4,2,0,0,0,0,0,1,3,0,0,0,4,2025-12-02 06:09:36
13496,2025,SCO.1,258,116662,9,6,3,4,0,0,0,1,0,7,12,2,0,0,5,2025-12-02 06:09:35
13496,2025,SCO.1,259,122636,13,7,23,10,3,0,0,0,0,4,10,4,0,0,13,2025-12-02 06:09:36
13496,2025,SCO.1,260,123113,6,5,5,6,0,0,0,0,0,1,3,0,0,0,3,2025-12-02 06:09:36
