seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13776,2025,USA.W.USL.1,131449,209238,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131455,209644,11,0,23,10,3,0,0,0,0,0,3,0,0,0,13,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131455,210679,11,0,8,8,2,0,0,0,0,1,5,0,0,0,15,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131450,211209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131449,211225,10,0,17,5,1,2,0,0,0,0,0,0,0,0,11,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131454,211980,11,3,11,4,1,0,0,0,0,8,23,4,0,0,13,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131451,212190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131447,212194,9,0,2,9,1,0,0,2,0,8,14,0,0,0,15,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131452,223046,13,2,13,13,3,0,0,1,0,0,1,0,0,0,16,2025-12-02 06:04:59
13776,2025,USA.W.USL.1,131447,224874,8,8,1,3,0,0,0,0,0,1,5,0,0,0,5,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131454,225047,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131452,225671,8,0,0,2,2,0,0,0,0,0,0,0,0,20,14,2025-12-02 06:04:59
13776,2025,USA.W.USL.1,131447,226782,9,0,12,4,2,0,1,0,0,3,10,0,0,0,18,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131450,230372,7,4,4,4,0,0,0,0,0,0,5,0,0,0,6,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131454,241908,10,3,3,5,2,0,0,0,0,5,12,1,0,0,14,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131453,242241,11,0,11,10,3,0,0,2,0,0,4,0,0,0,19,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131450,242560,10,0,11,4,1,0,0,0,0,2,9,1,0,0,12,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131454,242779,11,0,12,5,1,0,0,1,0,0,0,0,0,0,17,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131452,246591,6,5,0,0,1,0,0,0,0,2,2,1,0,0,3,2025-12-02 06:04:59
13776,2025,USA.W.USL.1,131455,246850,9,5,20,9,3,0,0,0,0,1,2,1,0,0,7,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131453,246887,6,6,2,2,1,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131451,248457,11,0,15,7,2,0,0,2,0,2,11,0,0,0,9,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131454,248725,6,2,7,1,2,0,0,0,0,0,1,0,0,0,9,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131452,249239,10,1,23,17,3,0,0,0,0,3,8,1,0,0,16,2025-12-02 06:04:59
13776,2025,USA.W.USL.1,131455,261623,9,6,5,10,1,0,0,0,0,2,5,1,0,0,9,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131450,261660,10,6,8,3,0,0,0,0,0,1,5,1,0,0,8,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131451,261845,11,0,15,13,2,0,0,2,0,8,22,6,0,0,8,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131449,261984,12,3,2,7,0,0,0,0,0,0,5,0,0,0,11,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131452,262002,13,1,16,8,4,0,0,0,0,2,6,1,0,0,14,2025-12-02 06:04:59
13776,2025,USA.W.USL.1,131447,262023,10,0,11,6,0,0,0,1,0,8,14,2,0,0,16,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131451,262754,11,10,3,5,2,0,0,0,0,3,7,3,0,0,4,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131451,262828,5,3,9,8,1,0,0,1,0,4,7,2,0,0,5,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131451,262848,11,0,8,4,1,0,0,1,0,1,7,1,0,0,9,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131451,263556,10,1,9,16,2,0,0,3,0,6,25,2,0,0,4,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131448,263673,4,2,0,1,0,0,0,0,0,0,1,0,0,0,3,2025-10-11 02:00:07
13776,2025,USA.W.USL.1,131449,263897,8,0,13,24,2,0,0,1,0,1,2,0,0,0,12,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131450,264743,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131447,268155,10,0,2,14,1,0,0,0,0,5,12,0,0,0,18,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131455,277809,10,0,16,18,0,0,0,1,0,1,6,0,0,0,8,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131454,278217,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131455,278224,11,0,11,29,2,0,0,3,0,9,14,3,0,0,13,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131447,278276,9,0,0,1,1,0,0,0,0,0,0,0,0,21,17,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131455,278377,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131448,278686,14,1,24,21,2,0,0,2,0,5,16,0,0,0,11,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131454,279023,10,0,3,2,0,1,0,0,0,1,9,0,0,0,13,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131448,279241,14,0,8,7,1,0,0,0,0,0,1,0,0,0,13,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131451,279249,11,0,15,6,0,0,0,2,0,9,24,3,0,0,6,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131451,279299,11,0,7,5,1,0,0,0,0,1,6,0,0,0,9,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131448,279478,14,4,17,11,1,0,0,0,0,9,22,3,0,0,10,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131450,280977,5,3,5,0,1,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131454,281438,10,1,13,11,2,0,1,0,0,0,6,0,0,0,13,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131455,281644,8,0,0,2,0,0,0,0,0,0,0,0,0,17,10,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131451,282711,11,0,0,1,0,0,0,0,0,0,0,0,0,25,9,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131454,283040,10,0,0,2,0,0,0,0,0,0,0,0,0,23,13,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131447,290268,10,0,12,7,3,0,0,1,0,4,15,1,0,0,19,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131453,292481,11,0,9,15,0,0,0,1,0,1,5,0,0,0,18,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131453,292540,7,0,0,3,0,0,0,0,0,0,0,0,0,18,11,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131454,292574,6,0,10,13,0,0,0,1,0,4,20,4,0,0,13,2025-10-11 02:00:05
13776,2025,USA.W.USL.1,131454,292620,11,2,14,13,0,0,0,2,0,6,18,3,0,0,9,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131447,292641,8,2,6,9,1,0,0,0,0,2,7,1,0,0,15,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131451,292649,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131453,292692,8,6,5,2,1,0,0,0,0,0,1,0,0,0,5,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131455,292703,11,0,16,8,1,0,0,0,0,6,22,3,0,0,14,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131447,293126,9,0,7,5,0,1,1,0,0,2,5,1,0,0,18,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131448,293178,9,9,1,2,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131450,293482,8,5,4,2,2,0,0,1,0,0,1,0,0,0,2,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131451,293514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131451,293616,11,11,2,3,0,0,0,2,0,1,9,0,0,0,4,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131450,293955,9,0,7,3,0,0,0,0,0,0,2,0,0,0,12,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131454,293982,11,3,9,9,2,0,0,4,0,8,20,1,0,0,15,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131454,293984,4,1,0,3,0,0,0,1,0,0,0,0,0,0,6,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131448,294743,11,1,19,23,1,0,0,1,0,11,28,4,0,0,8,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131450,294787,11,0,12,11,1,0,0,2,0,11,34,5,0,0,15,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131450,295319,11,0,12,14,0,0,0,0,0,1,5,1,0,0,15,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131449,295329,4,4,3,0,0,0,0,0,0,1,1,0,0,0,1,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131450,295965,11,0,4,6,1,0,0,0,0,1,1,0,0,0,15,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131448,297406,14,2,22,17,1,0,0,0,0,2,13,1,0,0,12,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131450,300548,11,0,0,0,1,0,0,0,0,0,0,0,0,29,15,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131452,303940,3,2,3,4,1,0,0,0,0,0,2,0,0,0,0,2025-12-02 06:04:59
13776,2025,USA.W.USL.1,131451,303944,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131447,307428,9,0,9,5,0,1,0,1,0,0,1,0,0,0,14,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131450,307431,11,0,4,13,0,0,0,2,0,3,14,0,0,0,15,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131455,307440,5,3,1,2,1,0,0,0,0,0,1,0,0,0,6,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131447,307879,10,9,8,11,0,0,0,0,0,1,1,0,0,0,2,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131455,307884,6,0,3,3,1,0,0,0,0,3,9,1,0,0,2,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131448,308119,10,6,4,2,1,0,0,0,0,1,4,0,0,0,4,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131451,308185,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131451,308502,11,1,9,10,2,0,0,0,0,12,28,7,0,0,5,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131449,310201,4,4,0,0,0,0,0,0,0,1,2,1,0,0,3,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131452,312207,7,1,9,8,1,0,0,0,0,4,14,2,0,0,6,2025-12-02 06:04:59
13776,2025,USA.W.USL.1,131449,312211,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131455,312217,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131448,313734,12,0,10,14,1,0,0,1,0,1,6,0,0,0,8,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131449,314691,12,0,5,2,0,0,0,0,0,3,5,3,0,0,19,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131455,314813,10,0,18,6,3,0,0,0,0,2,5,1,0,0,13,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131455,315025,2,0,0,1,0,0,0,0,0,0,0,0,0,3,4,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131450,316432,4,4,0,0,0,0,0,0,0,1,1,0,0,0,1,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131448,316935,8,3,2,0,0,0,0,0,0,0,5,0,0,0,5,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131453,316938,7,4,7,2,0,0,0,0,0,5,9,1,0,0,6,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131448,316940,13,2,7,10,1,0,0,1,0,1,4,0,0,0,9,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131450,318870,7,2,8,7,0,0,0,1,0,4,11,2,0,0,5,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131453,323320,11,2,13,12,3,0,0,0,0,9,20,2,0,0,11,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131453,323370,11,0,12,2,0,0,0,0,0,1,8,0,0,0,18,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131455,323491,6,2,13,1,4,0,0,0,0,1,12,1,0,0,4,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131455,325405,10,0,5,7,0,0,0,3,0,2,7,1,0,0,13,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131449,326354,2,1,0,0,0,0,0,0,0,0,0,0,0,2,4,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131448,326369,10,2,3,2,0,0,0,0,0,1,2,0,0,0,6,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131447,326918,10,5,4,16,1,0,0,0,0,4,9,1,0,0,11,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131452,326942,10,0,7,5,1,0,0,0,0,3,9,1,0,0,12,2025-12-02 06:04:59
13776,2025,USA.W.USL.1,131448,326947,9,3,8,9,0,0,0,0,0,4,9,2,0,0,3,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131450,327038,10,1,7,2,2,0,0,1,0,0,0,0,0,0,12,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131454,327156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131450,327192,8,1,3,13,0,0,0,2,0,5,14,1,0,0,10,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131455,327196,2,1,1,4,1,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131455,327261,8,6,1,3,0,0,0,1,0,1,4,0,0,0,5,2025-12-02 06:05:02
13776,2025,USA.W.USL.1,131451,327391,10,0,13,16,2,1,0,2,0,0,5,0,0,0,9,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131449,327405,10,5,3,8,0,0,0,0,0,1,3,1,0,0,5,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131452,327467,12,2,11,19,3,0,0,2,0,8,18,2,0,0,15,2025-12-02 06:04:59
13776,2025,USA.W.USL.1,131448,327481,7,4,1,7,0,0,0,0,0,0,2,0,0,0,4,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131454,327485,7,7,7,1,1,0,0,0,0,4,7,2,0,0,2,2025-12-02 06:05:00
13776,2025,USA.W.USL.1,131451,327584,11,0,15,12,3,0,0,4,0,1,11,0,0,0,7,2025-12-02 06:05:01
13776,2025,USA.W.USL.1,131453,328320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:02
